controller,structure,FT,r0,r_fs,M_const,M_const_upper,m_adv,F_at_adv,adv_violated,gap_lower,gap_upper,n_adversary_calls
1,H1,0.999,0.0010009760933897638,0.001980371967810949,0.010117832990002792,0.010117833091137111,0.005133428998717382,0.9989730584653743,1,0.00498440399128541,0.008137461123326162,9
2,H1,0.999,0.0007498987572263373,0.0014797330339165308,0.007342842139315568,0.007342842212714746,0.004451591786349487,0.9989897089541239,1,0.0028912503529660814,0.005863109178798215,9
3,H1,0.999,0.0007880703061625992,0.0015420875172254564,0.010014620429205107,0.010014620529307681,0.004095146494830159,0.9989921809968865,1,0.005919473934374949,0.008472533012082225,9
4,H1,0.999,0.0011390831166277773,0.0022145146710805226,0.011784205197861504,0.011784205315652878,0.006658800376717618,0.998978014396405,1,0.005125404821143886,0.009569690644572356,9
5,H1,0.999,0.0010679997110586818,0.0020700179530261167,0.008907324975529936,0.008907325064568948,0.007217160346059118,0.9989920590307567,1,0.0016901646294708176,0.006837307111542831,8
