controller,fid,err,L_H0,L_H1,L_H2,poly_r_H0,poly_r_H1,poly_r_H2,inradius_linf,inradius_l2,r0_joint,r0_H0,r0_H1,r0_H2,M_+e0,Mupper_+e0,nev_+e0,M_+e1,Mupper_+e1,nev_+e1,M_+e2,Mupper_+e2,nev_+e2,M_-e0,Mupper_-e0,nev_-e0,M_-e1,Mupper_-e1,nev_-e1,M_-e2,Mupper_-e2,nev_-e2,M_diagmmm,Mupper_diagmmm,nev_diagmmm,M_diagmmp,Mupper_diagmmp,nev_diagmmp,M_diagmpm,Mupper_diagmpm,nev_diagmpm,M_diagmpp,Mupper_diagmpp,nev_diagmpp,M_diagpmm,Mupper_diagpmm,nev_diagpmm,M_diagpmp,Mupper_diagpmp,nev_diagpmp,M_diagppm,Mupper_diagppm,nev_diagppm,M_diagppp,Mupper_diagppp,nev_diagppp
11,0.9999963832699197,3.6167300803136e-06,0.8213784146177635,1.0801630789014542,0.9367807280206495,0.0012130623987536406,0.0009224378146066857,0.0010636248591769954,0.0003510465662986359,0.0006042601950263219,0.0003510465662986359,0.0012130623987536406,0.0009224378146066857,0.0010636248591769954,0.006141294542036539,0.006141294603426528,205,0.009461932855574808,0.00946193295015534,316,0.012453440111439455,0.012453440235916106,342,0.006141294542036539,0.006141294603426528,205,0.009461932855574808,0.00946193295015534,316,0.012453440111439455,0.012453440235916106,342,0.007165456672566466,0.00716545674418766,261,0.008507189450775535,0.008507189535812549,285,0.009068572142982718,0.009068572233626254,316,0.008622005864200538,0.008622005950379822,285,0.008622005864200538,0.008622005950379822,285,0.009068572142982718,0.009068572233626254,316,0.008507189450775535,0.008507189535812549,285,0.007165456672566466,0.00716545674418766,261
12,0.9999959548828486,4.04511715135225e-06,0.8213784146177635,1.2840879211498106,0.7956638270860634,0.0012125408522067763,0.0007756126869825753,0.001251728241174832,0.00034329893073988216,0.0005792173028331321,0.00034329893073988216,0.0012125408522067763,0.0007756126869825753,0.001251728241174832,0.005657938123281051,0.0056579381798335,204,0.006334515103832403,0.006334515167152282,276,0.010729440398382202,0.010729440505627342,282,0.005657938123281051,0.0056579381798335,204,0.006334515103832403,0.006334515167152282,276,0.010729440398382202,0.010729440505627342,282,0.005643697272871316,0.005643697329285749,236,0.0075145005618594395,0.0075145006369705235,282,0.007597211477482272,0.0075972115534176125,289,0.006999107214696713,0.006999107284659177,282,0.006999107214696713,0.006999107284659177,282,0.007597211477482272,0.0075972115534176125,289,0.0075145005618594395,0.0075145006369705235,282,0.005643697272871316,0.005643697329285749,236
13,0.9999957175219889,4.28247801109727e-06,0.8213784146177635,1.1602649071013773,1.0483277530517467,0.0012122518735229316,0.000858181192844333,0.0009498150927446918,0.00032862278134683867,0.0005637259454194281,0.00032862278134683867,0.0012122518735229316,0.000858181192844333,0.0009498150927446918,0.00495485995224071,0.004954860001770129,195,0.008281425278113156,0.008281425360887907,327,0.00823701582893845,0.008237015911267522,288,0.00495485995224071,0.004954860001770129,195,0.008281425278113156,0.008281425360887907,327,0.00823701582893845,0.008237015911267522,288,0.005726007600166193,0.005726007657404249,240,0.007414960538368933,0.007414960612482321,295,0.007344900400183896,0.0073449004735994675,282,0.006136977551182934,0.006136977612529581,245,0.006136977551182934,0.006136977612529581,245,0.007344900400183896,0.0073449004735994675,282,0.007414960538368933,0.007414960612482321,295,0.005726007600166193,0.005726007657404249,240
14,0.9999949655878757,5.03441212429401e-06,0.8213784146177635,1.5331451656810362,1.1565181874080952,0.0012113364195728228,0.0006489702411418498,0.0008603112330704699,0.00028338187173640705,0.00047635293631654273,0.00028338187173640705,0.0012113364195728228,0.0006489702411418498,0.0008603112330704699,0.006279617689971939,0.006279617752736494,219,0.0062593834584764715,0.006259383521040352,313,0.00965210097741082,0.009652101073886282,327,0.006279617689971939,0.006279617752736494,219,0.0062593834584764715,0.006259383521040352,313,0.00965210097741082,0.009652101073886282,327,0.006575709030553886,0.00657570909628185,282,0.006720640019205793,0.006720640086383988,268,0.006632450517774998,0.006632450584067993,303,0.00829988257527928,0.008299882658240469,336,0.00829988257527928,0.008299882658240469,336,0.006632450517774998,0.006632450584067993,303,0.006720640019205793,0.006720640086383988,268,0.006575709030553886,0.00657570909628185,282
15,0.9999948004295495,5.19957045053143e-06,0.8213784146177635,1.4153632603078228,1.2247582765411864,0.0012111353449828855,0.0007028587341833534,0.0008122422592309194,0.0002873899880102684,0.00048669224169368486,0.0002873899880102684,0.0012111353449828855,0.0007028587341833534,0.0008122422592309194,0.005738119688064678,0.00573811974541705,202,0.007563618378186185,0.007563618453790902,319,0.010167234210064059,0.010167234311687864,368,0.005738119688064678,0.00573811974541705,202,0.007563618378186185,0.007563618453790902,319,0.010167234210064059,0.010167234311687864,368,0.007233984766448631,0.0072339848387592935,296,0.007412411182755804,0.0074124112568427925,321,0.006971135254143288,0.006971135323822951,298,0.007304165167199389,0.00730416524020943,301,0.007304165167199389,0.00730416524020943,301,0.006971135254143288,0.006971135323822951,298,0.007412411182755804,0.0074124112568427925,321,0.007233984766448631,0.0072339848387592935,296
16,0.9999946724644592,5.32753554083332e-06,0.8213784146177635,1.0113088964675776,1.0660326782205995,0.0012109795518882454,0.0009835496038241227,0.0009330600128738868,0.0003431419620156749,0.0005908713102482573,0.0003431419620156749,0.0012109795518882454,0.0009835496038241227,0.0009330600128738868,0.006769963110319794,0.0067699631779926835,213,0.014455186788884997,0.014455186933365023,389,0.011521496246631905,0.011521496361797721,358,0.006769963110319794,0.0067699631779926835,213,0.014455186788884997,0.014455186933365023,389,0.011521496246631905,0.011521496361797721,358,0.010269143504492744,0.010269143607141337,340,0.009575424557186548,0.009575424652900653,318,0.008024506700233221,0.008024506780441868,299,0.010154876014273428,0.01015487611577438,342,0.010154876014273428,0.01015487611577438,342,0.008024506700233221,0.008024506780441868,299,0.009575424557186548,0.009575424652900653,318,0.010269143504492744,0.010269143607141337,340
17,0.9999944998331917,5.50016680833654e-06,0.8213784146177635,1.302371239656546,1.736253457817651,0.0012107693792400057,0.0007636070291679301,0.0005727849403035351,0.0002576422361092119,0.00042854393387544603,0.0002576422361092119,0.0012107693792400057,0.0007636070291679301,0.0005727849403035351,0.005471430109226769,0.005471430163922224,201,0.008647476941022518,0.008647477027460099,358,0.007441520705589272,0.007441520779970378,362,0.005471430109226769,0.005471430163922224,201,0.008647476941022518,0.008647477027460099,358,0.007441520705589272,0.007441520779970378,362,0.006851965155147638,0.006851965223632593,322,0.006898881477662285,0.006898881546620614,328,0.0063965266038741135,0.0063965266678116545,300,0.007074451008811404,0.007074451079524629,321,0.007074451008811404,0.007074451079524629,321,0.0063965266038741135,0.0063965266678116545,300,0.006898881477662285,0.006898881546620614,328,0.006851965155147638,0.006851965223632593,322
18,0.9999942152718732,5.78472812684527e-06,0.8213784146177635,1.3285636421805567,1.0276158730646703,0.0012104229356169672,0.0007483384614095335,0.0009674969975979298,0.00031288659209964813,0.0005317542598017068,0.00031288659209964813,0.0012104229356169672,0.0007483384614095335,0.0009674969975979298,0.006033247123974476,0.00603324718428762,197,0.0062091778423016535,0.00620917790436511,270,0.010908619952804916,0.010908620061844943,345,0.006033247123974476,0.00603324718428762,197,0.0062091778423016535,0.00620917790436511,270,0.010908619952804916,0.010908620061844943,345,0.005930617070064397,0.0059306171293408184,262,0.007064726550253612,0.007064726620870879,285,0.007936040105973135,0.007936040185297952,312,0.0073920172989838055,0.007392017372867807,300,0.0073920172989838055,0.007392017372867807,300,0.007936040105973135,0.007936040185297952,312,0.007064726550253612,0.007064726620870879,285,0.005930617070064397,0.0059306171293408184,262
19,0.9999917977476402,8.20225235975691e-06,0.8213784146177635,1.209561655729598,1.2075175807434206,0.0012074796829199045,0.000819964606964716,0.00082135263573496,0.00030625620418591923,0.0005230284549927857,0.00030625620418591923,0.0012074796829199045,0.000819964606964716,0.00082135263573496,0.006126567402601982,0.006126567463843743,200,0.00901696100235001,0.009016961092481728,313,0.008494411931687353,0.00849441201659331,329,0.006126567402601982,0.006126567463843743,200,0.00901696100235001,0.009016961092481728,313,0.008494411931687353,0.00849441201659331,329,0.006475956028572569,0.00647595609330672,276,0.008977420603938354,0.008977420693667752,347,0.008860747356905922,0.00886074744547452,327,0.006791862862505545,0.0067918629303936095,288,0.006791862862505545,0.0067918629303936095,288,0.008860747356905922,0.00886074744547452,327,0.008977420603938354,0.008977420693667752,347,0.006475956028572569,0.00647595609330672,276
20,0.9999917792203681,8.22077963191781e-06,0.8213784146177635,1.0411205601896527,0.925767830397764,0.0012074571265989337,0.0009526074676539745,0.0010713044759166302,0.00035569738825326307,0.0006132336390042555,0.00035569738825326307,0.0012074571265989337,0.0009526074676539745,0.0010713044759166302,0.005062784262009734,0.0050627843126124575,199,0.008651747636847684,0.008651747723325078,288,0.011648786505312338,0.011648786621747583,325,0.005062784262009734,0.0050627843126124575,199,0.008651747636847684,0.008651747723325078,288,0.011648786505312338,0.011648786621747583,325,0.006503368801817901,0.0065033688668209525,238,0.006766751840025908,0.006766751907660717,250,0.008195743215156065,0.00819574329707606,280,0.007185140378815654,0.007185140450636014,279,0.007185140378815654,0.007185140450636014,279,0.008195743215156065,0.00819574329707606,280,0.006766751840025908,0.006766751907660717,250,0.006503368801817901,0.0065033688668209525,238
