controller,fid,err,L_H0,L_H1,L_H2,poly_r_H0,poly_r_H1,poly_r_H2,inradius_linf,inradius_l2,r0_joint,r0_H0,r0_H1,r0_H2,M_+e0,Mupper_+e0,nev_+e0,M_+e1,Mupper_+e1,nev_+e1,M_+e2,Mupper_+e2,nev_+e2,M_-e0,Mupper_-e0,nev_-e0,M_-e1,Mupper_-e1,nev_-e1,M_-e2,Mupper_-e2,nev_-e2,M_diagmmm,Mupper_diagmmm,nev_diagmmm,M_diagmmp,Mupper_diagmmp,nev_diagmmp,M_diagmpm,Mupper_diagmpm,nev_diagmpm,M_diagmpp,Mupper_diagmpp,nev_diagmpp,M_diagpmm,Mupper_diagpmm,nev_diagpmm,M_diagpmp,Mupper_diagpmp,nev_diagpmp,M_diagppm,Mupper_diagppm,nev_diagppm,M_diagppp,Mupper_diagppp,nev_diagppp
13,0.9999957175219889,4.28247801109727e-06,0.8213784146177635,1.1602649071013773,1.0483277530517467,0.0012122518735229316,0.000858181192844333,0.0009498150927446918,0.00032862278134683867,0.0005637259454194281,0.00032862278134683867,0.0012122518735229316,0.000858181192844333,0.0009498150927446918,0.004954859953816993,0.004954860003348715,193,0.008281425274473234,0.008281425357251125,306,0.008237015830067348,0.008237015912403205,282,0.004954859953816993,0.004954860003348715,193,0.008281425274473234,0.008281425357251125,306,0.008237015830067348,0.008237015912403205,282,0.005726007552019583,0.005726007609252271,261,0.0074149605307501035,0.007414960604869956,270,0.007344900415105635,0.007344900488519133,301,0.00613697755886836,0.0061369776202083795,265,0.00613697755886836,0.0061369776202083795,265,0.007344900415105635,0.007344900488519133,301,0.0074149605307501035,0.007414960604869956,270,0.005726007552019583,0.005726007609252271,261
14,0.9999949655878757,5.03441212429401e-06,0.8213784146177635,1.5331451656810362,1.1565181874080952,0.0012113364195728228,0.0006489702411418498,0.0008603112330704699,0.00028338187173640705,0.00047635293631654273,0.00028338187173640705,0.0012113364195728228,0.0006489702411418498,0.0008603112330704699,0.006279617715803912,0.0062796177785790965,220,0.006259383453606968,0.006259383516173304,304,0.009652100949582468,0.009652101046056419,336,0.006279617715803912,0.0062796177785790965,220,0.006259383453606968,0.006259383516173304,304,0.009652100949582468,0.009652101046056419,336,0.006575709037705614,0.006575709103431204,296,0.006720640068531316,0.006720640135706777,308,0.006632450470005997,0.006632450536303959,291,0.008299882527856989,0.008299882610817665,334,0.008299882527856989,0.008299882610817665,334,0.006632450470005997,0.006632450536303959,291,0.006720640068531316,0.006720640135706777,308,0.006575709037705614,0.006575709103431204,296
15,0.9999948004295495,5.19957045053143e-06,0.8213784146177635,1.4153632603078228,1.2247582765411864,0.0012111353449828855,0.0007028587341833534,0.0008122422592309194,0.0002873899880102684,0.00048669224169368486,0.0002873899880102684,0.0012111353449828855,0.0007028587341833534,0.0008122422592309194,0.005738119680390169,0.005738119737742541,211,0.00756361837583421,0.007563618451438885,330,0.010167234202810412,0.010167234304437453,360,0.005738119680390169,0.005738119737742541,211,0.00756361837583421,0.007563618451438885,330,0.010167234202810412,0.010167234304437453,360,0.007233984803987153,0.007233984876293202,318,0.007412411131106503,0.007412411205195776,319,0.006971135270164996,0.006971135339848122,315,0.007304165160528279,0.007304165233540617,313,0.007304165160528279,0.007304165233540617,313,0.006971135270164996,0.006971135339848122,315,0.007412411131106503,0.007412411205195776,319,0.007233984803987153,0.007233984876293202,318
16,0.9999946724644592,5.32753554083332e-06,0.8213784146177635,1.0113088964675776,1.0660326782205995,0.0012109795518882454,0.0009835496038241227,0.0009330600128738868,0.0003431419620156749,0.0005908713102482573,0.0003431419620156749,0.0012109795518882454,0.0009835496038241227,0.0009330600128738868,0.006769963125763151,0.006769963193432675,231,0.014455186823878023,0.014455186968364644,403,0.01152149624305289,0.01152149635821374,379,0.006769963125763151,0.006769963193432675,231,0.014455186823878023,0.014455186968364644,403,0.01152149624305289,0.01152149635821374,379,0.010269143420375325,0.010269143523022672,335,0.009575424612261331,0.009575424707967139,336,0.008024506688789379,0.008024506768994868,285,0.01015487596428619,0.010154876065786158,342,0.01015487596428619,0.010154876065786158,342,0.008024506688789379,0.008024506768994868,285,0.009575424612261331,0.009575424707967139,336,0.010269143420375325,0.010269143523022672,335
17,0.9999944998331917,5.50016680833654e-06,0.8213784146177635,1.302371239656546,1.736253457817651,0.0012107693792400057,0.0007636070291679301,0.0005727849403035351,0.0002576422361092119,0.00042854393387544603,0.0002576422361092119,0.0012107693792400057,0.0007636070291679301,0.0005727849403035351,0.005471430129555725,0.0054714301842519585,200,0.008647476918995717,0.008647477005431867,337,0.007441520714680772,0.007441520789063212,379,0.005471430129555725,0.0054714301842519585,200,0.008647476918995717,0.008647477005431867,337,0.007441520714680772,0.007441520789063212,379,0.006851965161353177,0.006851965229839116,330,0.006898881467343053,0.006898881536302094,323,0.006396526580220189,0.006396526644153421,322,0.007074451043894661,0.007074451114608032,344,0.007074451043894661,0.007074451114608032,344,0.006396526580220189,0.006396526644153421,322,0.006898881467343053,0.006898881536302094,323,0.006851965161353177,0.006851965229839116,330
18,0.9999942152718732,5.78472812684527e-06,0.8213784146177635,1.3285636421805567,1.0276158730646703,0.0012104229356169672,0.0007483384614095335,0.0009674969975979298,0.00031288659209964813,0.0005317542598017068,0.00031288659209964813,0.0012104229356169672,0.0007483384614095335,0.0009674969975979298,0.006033247099694445,0.006033247160006876,210,0.006209177860057698,0.006209177922119806,286,0.01090861999520137,0.01090862010423983,355,0.006033247099694445,0.006033247160006876,210,0.006209177860057698,0.006209177922119806,286,0.01090861999520137,0.01090862010423983,355,0.005930617089464494,0.005930617148742467,264,0.007064726510408934,0.007064726581023783,293,0.007936040136204248,0.007936040215531723,331,0.007392017317095,0.007392017390983708,298,0.007392017317095,0.007392017390983708,298,0.007936040136204248,0.007936040215531723,331,0.007064726510408934,0.007064726581023783,293,0.005930617089464494,0.005930617148742467,264
19,0.9999917977476402,8.20225235975691e-06,0.8213784146177635,1.209561655729598,1.2075175807434206,0.0012074796829199045,0.000819964606964716,0.00082135263573496,0.00030625620418591923,0.0005230284549927857,0.00030625620418591923,0.0012074796829199045,0.000819964606964716,0.00082135263573496,0.006126567358926716,0.006126567420167519,223,0.009016961053808985,0.009016961143940332,331,0.008494411902086212,0.008494411986993536,307,0.006126567358926716,0.006126567420167519,223,0.009016961053808985,0.009016961143940332,331,0.008494411902086212,0.008494411986993536,307,0.006475956009178121,0.006475956073912329,270,0.008977420636900095,0.00897742072662946,337,0.008860747364802652,0.008860747453371582,325,0.006791862890085754,0.006791862957972781,306,0.006791862890085754,0.006791862957972781,306,0.008860747364802652,0.008860747453371582,325,0.008977420636900095,0.00897742072662946,337,0.006475956009178121,0.006475956073912329,270
20,0.9999917792203681,8.22077963191781e-06,0.8213784146177635,1.0411205601896527,0.925767830397764,0.0012074571265989337,0.0009526074676539745,0.0010713044759166302,0.00035569738825326307,0.0006132336390042555,0.00035569738825326307,0.0012074571265989337,0.0009526074676539745,0.0010713044759166302,0.0050627842502263725,0.005062784300832063,211,0.008651747587786345,0.008651747674269229,295,0.01164878648212593,0.011648786598561068,332,0.0050627842502263725,0.005062784300832063,211,0.008651747587786345,0.008651747674269229,295,0.01164878648212593,0.011648786598561068,332,0.006503368809105781,0.006503368874112667,242,0.006766751837209636,0.006766751904847486,253,0.008195743208330279,0.008195743290248254,283,0.007185140352950387,0.007185140424772154,250,0.007185140352950387,0.007185140424772154,250,0.008195743208330279,0.008195743290248254,283,0.006766751837209636,0.006766751904847486,253,0.006503368809105781,0.006503368874112667,242
21,0.9999914531930443,8.54680695572263e-06,0.8213784146177635,1.2736410056530114,1.5827762767589086,0.0012070601995334026,0.0007784400695646709,0.0006264013478084039,0.0002695781045808716,0.00045243993100786706,0.0002695781045808716,0.0012070601995334026,0.0007784400695646709,0.0006264013478084039,0.005800016852025287,0.005800016910006096,211,0.005523215051558783,0.005523215106765113,259,0.007186198270858949,0.0071861983426850535,330,0.005800016852025287,0.005800016910006096,211,0.005523215051558783,0.005523215106765113,259,0.007186198270858949,0.0071861983426850535,330,0.005756017980742607,0.005756018038277369,287,0.005944220285811551,0.005944220345226443,291,0.0067793879937214484,0.006779388061483385,312,0.0058899231996844695,0.005889923258558999,281,0.0058899231996844695,0.005889923258558999,281,0.0067793879937214484,0.006779388061483385,312,0.005944220285811551,0.005944220345226443,291,0.005756017980742607,0.005756018038277369,287
22,0.9999894111260954,1.05888739045934e-05,0.8213784146177635,0.7974976864578719,1.2483360547799365,0.0012045740531821036,0.0012406445095620674,0.0007925839538991996,0.0003450777522939076,0.0005841318847078569,0.0003450777522939076,0.0012045740531821036,0.0012406445095620674,0.0007925839538991996,0.005513857303260743,0.00551385735838048,205,0.011203596748285985,0.01120359686026742,301,0.006793333776541838,0.0067933338444416715,293,0.005513857303260743,0.00551385735838048,205,0.011203596748285985,0.01120359686026742,301,0.006793333776541838,0.0067933338444416715,293,0.005521424756895238,0.005521424812089816,232,0.007879545680514143,0.00787954575927377,302,0.007435383232629515,0.0074353833069483784,288,0.007836067574917456,0.007836067653242754,286,0.007836067574917456,0.007836067653242754,286,0.007435383232629515,0.0074353833069483784,288,0.007879545680514143,0.00787954575927377,302,0.005521424756895238,0.005521424812089816,232
