controller,fid,diag_gain_min,diag_gain_med,diag_gain_max,inradius_gauge_est,inradius_gauge_cert,inradius_poly,inradius_gain_est,inradius_gain_cert,traj_box_joint,traj_box_sep,traj_gain,ang_diag_gain,ang_inradius_cert,ang_inradius_gain
1,0.9999998848788966,1.5063729274945716,1.5063729274945716,1.5063729274945716,0.0007721940569649226,0.0006675955923009056,0.0005619167903040448,1.3742142436197713,1.1880684183501253,0.000978877764127829,0.0006498243205657693,1.5063729274945719,1.97844082489096,0.001320798374325373,1.9784408248909604
2,0.9999998206620195,1.5190080817842657,1.5190080817842657,1.5190080817842657,0.0007104793675824471,0.0005900064732865173,0.0005142422952903198,1.381604302270275,1.147331673590606,0.0009054567990862211,0.0005960842538919532,1.5190080817842657,1.9732437475699067,0.0011642265844383913,1.9732437475699065
3,0.9999995197769479,1.5651374531241575,1.5651374531241575,1.5651374531241575,0.0007048023538690708,0.0006329287010987117,0.0004920118684564714,1.4324905536936758,1.2864094174888938,0.0008872994465880957,0.0005669147107923109,1.5651374531241573,1.9567892676009764,0.0012385080894665853,1.9567892676009764
4,0.9999991835309329,1.539397211877532,1.539397211877532,1.539397211877532,0.0009429168298568621,0.0007786101944418381,0.0006390965251971082,1.475390324749537,1.2182982753688132,0.0011064689301413494,0.0007187676589278998,1.5393972118775314,1.9441203532692513,0.001513711926277307,1.944120353269252
5,0.9999989947531169,1.552001978580585,1.552001978580585,1.552001978580585,0.0009214643483786647,0.0007890123905650053,0.0006292242937801095,1.4644449642001303,1.2539445764640738,0.001095523258786154,0.0007058774884991363,1.5520019785805854,1.9382195815181182,0.0015292792654535141,1.9382195815181176
6,0.9999989350273581,1.5172332679830585,1.5172332679830585,1.5172332679830585,0.0007129183281637357,0.0005739942347381993,0.0005109379803651497,1.3953128472740226,1.1234127365673336,0.0008814564482187787,0.00058096303766826,1.5172332679830582,1.9364773714526617,0.0011115268469148103,1.9364773714526615
7,0.9999983494355296,1.4580174643670998,1.4580174643670998,1.4580174643670998,0.0006544461459155122,0.000562911300263201,0.0004994101196850101,1.3104382953398843,1.1271523705171267,0.0008265280867655442,0.000566884901563457,1.4580174643670993,1.9216043576364537,0.0010816928075485697,1.9216043576364543
8,0.9999976099109873,1.5730178512207451,1.5730178512207451,1.5730178512207451,0.0008822952472994154,0.000732056776744261,0.0005929803347541378,1.4878996748943347,1.2345380341285468,0.0010326127078212298,0.0006564532672149064,1.5730178512207453,1.9064705890064364,0.0013956447143457843,1.9064705890064362
9,0.9999972515493131,1.5364655869608264,1.5364655869608264,1.5364655869608264,0.0008852112073202938,0.0007979281622308259,0.000609568129881195,1.452194043498996,1.3090057093147938,0.0010323184543650776,0.0006718786695425008,1.5364655869608266,1.9000636870157508,0.0015161143259020046,1.90006368701575
10,0.9999964305638135,1.5138569953753165,1.5138569953753165,1.5138569953753165,0.0006445953485888765,0.0005372606512996786,0.0004699701764276686,1.3715664970244847,1.1431803085538268,0.0007938424762741269,0.0005243840591939908,1.5138569953753163,1.8869422431801275,0.0010137798185358316,1.886942243180127
11,0.9999963832699197,1.5709940441954349,1.5709940441954349,1.5709940441954349,0.0008935542323750022,0.0007615083867449677,0.0006044317694399146,1.4783376347060606,1.259874853121313,0.0010402464736221039,0.0006621581268660075,1.5709940441954362,1.886240147135844,0.0014363876914590067,1.8862401471358436
12,0.9999959548828486,1.495542968838144,1.495542968838144,1.495542968838144,0.0007703299079628227,0.0006438641598646251,0.0005793885051601944,1.3295567673539452,1.111282246938268,0.0009652783248116683,0.000645436704210226,1.4955429688381439,1.8801011200842557,0.00121052972814359,1.880101120084256
13,0.9999957175219889,1.5280304006961336,1.5280304006961336,1.5280304006961336,0.0007935089928791641,0.0006766050586666098,0.0005637396152869961,1.4075806832826427,1.2002084656089933,0.0009424547720964386,0.0006167775010674388,1.5280304006961336,1.8768555805575506,0.001269889980191896,1.876855580557551
14,0.9999949655878757,1.5403851166986444,1.5403851166986444,1.5403851166986444,0.0006426831179009473,0.000517401663192198,0.0004765320287970562,1.3486672019157204,1.0857647165885407,0.0008150627959511663,0.0005291292334075584,1.5403851166986446,1.8671950684999452,0.0009660898339461411,1.867195068499944
15,0.9999948004295495,1.502077718011623,1.502077718011623,1.502077718011623,0.0006667765311788749,0.0005212537781200919,0.0004870611083205395,1.3689792097710725,1.0702020120585154,0.0008051668264300374,0.0005360353973533925,1.502077718011623,1.8651846609712097,0.0009722345514228852,1.8651846609712088
16,0.9999946724644592,1.5421051906867318,1.5421051906867318,1.5421051906867318,0.0008549900550894322,0.0007175383370372932,0.0005909414522245238,1.446827011154711,1.2142291496665392,0.0009861718347515406,0.0006394971242606203,1.542105190686732,1.8636517682289002,0.001337241590591576,1.8636517682289
17,0.9999944998331917,1.4788250981911766,1.4788250981911766,1.4788250981911766,0.0005566580721817997,0.0004702490642820927,0.0004293761948259968,1.296434406214307,1.0951912796950922,0.0007092904551391224,0.0004796310638808405,1.4788250981911764,1.8616166010751025,0.0008754234647075763,1.8616166010751016
18,0.9999942152718732,1.4991528095848055,1.4991528095848055,1.4991528095848055,0.0007208528731696085,0.0005537625226908208,0.000531831284325284,1.3554164533290471,1.0412372100173841,0.0008716817884542071,0.0005814495913165931,1.499152809584805,1.8583397499242542,0.0010290789079346848,1.8583397499242555
19,0.9999917977476402,1.5546597639078095,1.5546597639078095,1.5546597639078095,0.0007506326018772422,0.0006480448014716279,0.0005232075232542758,1.4346747103489932,1.2385999296051442,0.0008730303743410131,0.0005615571938046138,1.5546597639078097,1.8336189965429088,0.0011882672585892544,1.8336189965429082
20,0.9999917792203681,1.5700142098547705,1.5700142098547705,1.5700142098547705,0.0009156305967758862,0.0007255616533775738,0.0006136369861571878,1.4921372365604775,1.182395568952416,0.0010238884767903085,0.0006521523629298998,1.5700142098547711,1.833447150484461,0.0013302789458859063,1.83344715048446
21,0.9999914531930443,1.4964879175643617,1.4964879175643617,1.4964879175643617,0.0006067594242881349,0.0004947300185681311,0.00045449917244831786,1.3350066646317842,1.0885168743060538,0.0007384446187547292,0.0004934517747103493,1.496487917564362,1.8304593968263456,0.0009055832113801076,1.830459396826345
22,0.9999894111260954,1.5481619827374138,1.5481619827374138,1.5481619827374138,0.0007927145677451529,0.000681381753050343,0.0005844407056437346,1.3563644011962073,1.1658697733927212,0.000968630267058422,0.0006256646771197154,1.5481619827374131,1.8131121840185516,0.001235421558423497,1.8131121840185518
23,0.9999885827401283,1.5874491348087498,1.5874491348087498,1.5874491348087498,0.0009040067719566391,0.0007494030262360439,0.0005976354227639592,1.5126392069863699,1.2539468004928258,0.0009940272323955214,0.00062617894998902,1.5874491348087503,1.8066435911408247,0.001353904174530888,1.8066435911408247
24,0.9999868239874061,1.5627021917049102,1.5627021917049102,1.5627021917049102,0.0008239097883698409,0.0006979203389817055,0.000569988764416967,1.445484261804013,1.2244457830595974,0.0009310692335130391,0.0005958072103919183,1.56270219170491,1.793785055686493,0.0012519190741250347,1.793785055686493
25,0.9999861964971261,1.550149218292889,1.550149218292889,1.550149218292889,0.0008061542070533519,0.0006548709599451837,0.0005533349972264275,1.4569008125171405,1.1834981760194128,0.0008939585083939905,0.0005766919067175141,1.5501492182928898,1.789449128401607,0.0011718582684894323,1.7894491284016065
26,0.9999858955586922,1.5355520460157708,1.5355520460157708,1.5355520460157708,0.0007618919302412625,0.0006295388183191057,0.0005434089106884572,1.4020600605831146,1.1584992552321762,0.0008722793654174713,0.0005680558778067708,1.5355520460157703,1.7874119144411407,0.0011252451844667658,1.78741191444114
27,0.999984918272474,1.5433173695394589,1.5433173695394589,1.5433173695394589,0.0008214643495077709,0.0007405432750990492,0.0005714537946651025,1.437499159471302,1.295893529822548,0.0009128736223708052,0.0005915009060276537,1.5433173695394589,1.7809724742208626,0.0013188871889207746,1.7809724742208626
28,0.9999836112575723,1.5690014548037425,1.5690014548037425,1.5690014548037425,0.0008077864296811405,0.0006112590312807312,0.0005782025955376177,1.3970646896353929,1.0571710262081708,0.0009429495020041061,0.0006009870157335543,1.569001454803742,1.7727463026632653,0.0010836071876724452,1.7727463026632648
29,0.9999834265024687,1.5314776933169063,1.5314776933169063,1.5314776933169063,0.0008184885960676307,0.0006597974872626211,0.0005656117741309797,1.44708549839716,1.1665200716098083,0.0008923821115292065,0.0005826935092971985,1.5314776933169056,1.7716163067270785,0.0011689079875720119,1.7716163067270791
30,0.9999831413238557,1.5095083005059604,1.5095083005059604,1.5095083005059604,0.0009610214917577281,0.0007405969754039235,0.0006560470441153299,1.4648667353629372,1.128877848085739,0.0010143705707702706,0.0006719874083701772,1.50950830050596,1.7698871891478818,0.0013107730990890734,1.7698871891478822
