scope,check,n,min_slack,tol,passed,max_fraction_of_bound
ctrl7:H1,trajectory_certificate,62,0.0008775288057731867,3.1995336086131585e-14,1,
ctrl7:H2,constant_margin,101,1.1454948101174978e-11,2e-06,1,
ctrl7:H2,fs_angle,25,0.036741299858947446,1e-09,1,
ctrl7:H2,trajectory_certificate,62,0.0008880765244231315,3.1995336086131585e-14,1,
ctrl8,polytope,60,0.0009620098241421848,1e-12,1,
ctrl8,lipschitz_pairs,30,0.0007728171675122997,1e-12,1,
ctrl8,tv_slope,185,2.561462386114086,1e-09,1,0.1087613228507136
ctrl8:H0,constant_margin,101,1.7808532426499823e-11,2e-06,1,
ctrl8:H0,fs_angle,25,0.03844548163079367,1e-09,1,
ctrl8:H0,trajectory_certificate,62,0.0008282219317885531,2.7250220394450422e-14,1,
ctrl8:H1,constant_margin,101,7.788214517745473e-12,2e-06,1,
ctrl8:H1,fs_angle,25,0.036840219049842665,1e-09,1,
ctrl8:H1,trajectory_certificate,62,0.0008708813493731871,2.7250220394450422e-14,1,
ctrl8:H2,constant_margin,101,1.075906030933993e-11,2e-06,1,
ctrl8:H2,fs_angle,25,0.03500290377053591,1e-09,1,
ctrl8:H2,trajectory_certificate,62,0.0008765993121863103,2.7250220394450422e-14,1,
ctrl9,polytope,60,0.0009699208681615001,1e-12,1,
ctrl9,lipschitz_pairs,30,0.0007762306786046134,1e-12,1,
ctrl9,tv_slope,177,2.4398147235595986,1e-09,1,0.1242012586507525
ctrl9:H0,constant_margin,101,1.9495294267812824e-11,2e-06,1,
ctrl9:H0,fs_angle,25,0.0374949357683212,1e-09,1,
ctrl9:H0,trajectory_certificate,62,0.0008202960820578031,2.875144377375116e-14,1,
ctrl9:H1,constant_margin,101,6.969980148596733e-12,2e-06,1,
ctrl9:H1,fs_angle,25,0.03650995786654886,1e-09,1,
ctrl9:H1,trajectory_certificate,62,0.0008699310330911869,2.875144377375116e-14,1,
ctrl9:H2,constant_margin,101,3.958500194300996e-12,2e-06,1,
ctrl9:H2,fs_angle,25,0.03590107532616348,1e-09,1,
ctrl9:H2,trajectory_certificate,62,0.0008661784333418021,2.875144377375116e-14,1,
ctrl10,polytope,60,0.0009774888378223379,1e-12,1,
ctrl10,lipschitz_pairs,30,0.0007225302587186927,1e-12,1,
ctrl10,tv_slope,186,3.157152533509009,1e-09,1,0.11625942664032404
ctrl10:H0,constant_margin,101,8.392841976956333e-12,2e-06,1,
ctrl10:H0,fs_angle,25,0.0369942564884527,1e-09,1,
ctrl10:H0,trajectory_certificate,62,0.000854079054446677,2.9431832731878565e-14,1,
ctrl10:H1,constant_margin,101,1.1595946425302373e-11,2e-06,1,
ctrl10:H1,fs_angle,25,0.036215572935068614,1e-09,1,
