controller,fid,err,M_H0,KM_H0,ratio_H0,KTOb_H0,Kflb_H0,wunc_H0,wavg_H0,wdev_H0,M_H1,KM_H1,ratio_H1,KTOb_H1,Kflb_H1,wunc_H1,wavg_H1,wdev_H1,M_H2,KM_H2,ratio_H2,KTOb_H2,Kflb_H2,wunc_H2,wavg_H2,wdev_H2
1,0.999999884878897,1.15121103427818e-07,0.00645376211457944,0.0032461570416713,1.98812381278285,0.607139051950332,0.995340576384573,2,0.844315457131164,2.22361561781175,0.0101134320289187,0.00329999128712228,3.06468446398174,1.02239825826099,0.955404365564004,5.64103122919798,0.477520742246862,5.81991841330686,0.0108371327210407,0.00383987417805598,2.82226245405968,0.924095115981643,0.971680719019926,4.43738222975162,0.45563900825031,4.75607747311909
2,0.99999982066202,1.79337980465988e-07,0.0060975342255587,0.00308524400087988,1.97635396870385,0.602744961834561,0.995480110004865,2,0.896378576088482,2.11341933181387,0.00733991776927602,0.0024836398460552,2.95530681750581,1.01352780398996,0.957134366328286,7.9770898847211,0.581874266204862,7.9732614065975,0.00774473135746186,0.00245530890064086,3.15427983641505,1.07814151843778,0.943139328490235,8.11702802978182,0.578013427416765,8.15916917400035
3,0.999999519776948,4.80223052101714e-07,0.00553383080090021,0.00270763967377261,2.04378405830854,0.610668336075808,0.995226081642075,2,1.03270003612812,2.17906677072238,0.010010257458491,0.00304835156973131,3.28382643192739,1.12217786226742,0.931544906142549,6.540712894509,0.457386507840068,6.67649288156345,0.00885170282175117,0.00346712052862591,2.55304156537623,0.845915779387878,0.980812921808986,4.96652190106724,0.515040491204934,5.04856008523114
4,0.999999183530933,8.16469067133063e-07,0.00654245493790756,0.00386191255749067,1.69409711911204,0.559961629193048,0.99667532271627,2,0.691787702906054,2.18037316582869,0.0117791374595527,0.00469777423217086,2.50738687672299,0.822693132439558,0.983004941180182,3.44303515660182,0.397022122738752,3.68634207068172,0.00826595795407293,0.00337167710135969,2.45158646738134,0.794649735861105,0.985377704563923,4.60940113355484,0.583275801719751,4.82893803705632
5,0.999998994753117,1.00524688306791e-06,0.00531784064204626,0.00300032337303167,1.77242249613676,0.567653080735854,0.996481135459867,2,0.922113202914102,2.20112537587012,0.00890390124742085,0.00406872433687038,2.18837662869774,0.69062005859162,0.991981260149814,3.08403423242532,0.568161317303788,3.1524568409882,0.00953593897736509,0.00365096555110092,2.61189508470974,0.842615406811941,0.981137688790052,4.33815065679696,0.524005240440597,4.62134794969327
6,0.999998935027358,1.06497264185101e-06,0.00609331385177754,0.0034386483591697,1.77200842171859,0.571361348683476,0.996384413376277,2,0.789259601316606,2.26848377569587,0.00637406152863848,0.00225358008037462,2.82841581009134,0.959536089326202,0.966505255894874,8.4057126711624,0.684369446306691,8.57591596736684,0.00800270512502966,0.00335695051927408,2.38392108524739,0.777423658620983,0.986697671289099,4.58524923698694,0.586356484612007,4.88618540118846
7,0.99999834943553,1.65056447043455e-06,0.00580664625731898,0.00296657505199398,1.95735693705644,0.598665221807565,0.995606714169436,2,0.934004138075721,2.17457148895134,0.0073834524149845,0.00287758342764184,2.56585172963524,0.833850493040107,0.981978621478231,5.6590781266506,0.657212176017619,5.82241140001013,0.0101163869541839,0.00320609202473052,3.15536387482021,1.06139076730545,0.947090497637995,5.86837849110884,0.469632977337654,6.22727418613286
8,0.999997609910987,2.39008901270488e-06,0.00562706318904815,0.00314402222526066,1.7897657159792,0.571334781134297,0.996385113618403,2,0.87567827505664,2.15974455984878,0.0118313190275332,0.0038193576179478,3.09772485612131,1.01960838220853,0.955954640664016,4.74495277855648,0.428252638205496,4.92217693824806,0.00940528688305286,0.00291927218467666,3.22179169603351,1.07566829412279,0.943737877971929,6.49839099524488,0.524256912683749,6.65854247773298
9,0.999997251549313,2.74845068692908e-06,0.00547949730547564,0.00295523741481722,1.85416483900822,0.581128453670788,0.99611972088313,2,0.936959269977729,2.19568433187636,0.00770027101037829,0.003563069124643,2.16113433138904,0.693477626873026,0.991839492239601,3.73273773934866,0.625077039719359,3.85780528807831,0.00833996668930893,0.00356532813728381,2.33918628753835,0.755907766608702,0.988210314178029,4.20265236168124,0.574344441504753,4.31794602986061
10,0.999996430563813,3.5694361865124e-06,0.00615238910843264,0.00355250761507603,1.731844031051,0.564197740476482,0.996569435156784,2,0.761194048481766,2.19154594654002,0.00791500800071918,0.00246858313220679,3.20629591017401,1.07567278356735,0.943736796303895,7.76297600635256,0.609723364857033,7.92798871280594,0.00753314969303519,0.00316673952615175,2.37883464390566,0.787610171716023,0.985929258589782,5.05639331068696,0.590874248547322,5.47166242888042
