controller,fid,err,M_H0,KM_H0,ratio_H0,KTOb_H0,Kflb_H0,wunc_H0,wavg_H0,wdev_H0,M_H1,KM_H1,ratio_H1,KTOb_H1,Kflb_H1,wunc_H1,wavg_H1,wdev_H1,M_H2,KM_H2,ratio_H2,KTOb_H2,Kflb_H2,wunc_H2,wavg_H2,wdev_H2
13,0.999995717521989,4.28247801109727e-06,0.00495485995381916,0.00133800025398258,3.70318311903972,0.799233596234435,0.985009305838261,2,1.02599672743237,2.16278603203427,0.00828142527447133,0.00136110291875552,6.08434906747772,1.30092697566032,0.861298214203077,6.531996033354,0.56480557788512,6.59746757291328,0.00823701583006788,0.00157910583343637,5.21625318307064,1.0950729118511,0.93889562021382,4.56243975065814,0.579157741848723,4.83196989897671
14,0.999994965587876,5.03441212429401e-06,0.00627961771580188,0.00133041607885879,4.72004045620709,0.90803887773494,0.97379840308275,2,0.796686647138029,2.12785148335367,0.00625938345360661,0.0010687717360422,5.85661394526198,1.18978475548923,0.90985387016398,6.88782261025164,0.657431672922363,7.06133029227208,0.00965210094958189,0.00145686834450899,6.62523898330357,1.23679141322919,0.891506930946269,4.24402922389156,0.476228877916671,4.52119730036636
15,0.999994800429549,5.19957045053143e-06,0.00573811968038828,0.0013288274509355,4.31818267778005,0.864778117834985,0.978868550930768,2,0.939059198723043,2.10547507391991,0.00756361837583304,0.00111868092671387,6.76119364799686,1.38456042331227,0.810969990033205,7.64175149853906,0.585844631315573,7.72429570892542,0.0101672342028069,0.00128964611707618,7.88373963072719,1.56192526345875,0.646988112911587,6.69117938937544,0.448536821821685,6.73524125328281
16,0.999994672464459,5.32753554083332e-06,0.00676996312576612,0.00132761374994204,5.09934694941331,0.945988317261664,0.968568458676172,2,0.706387644991562,2.26968695277473,0.0144551868238748,0.00166159915765799,8.69956316314536,1.49244827790806,0.722362794742007,3.7323673523107,0.344963344609219,3.86137425916663,0.0115214962430527,0.00148361693811053,7.76581605877724,1.53775174499511,0.675100983182689,5.76369657703876,0.424950507578139,5.9629299085055
17,0.999994499833192,5.50016680833654e-06,0.00547143012955613,0.00132599913531586,4.12626975676935,0.842886351378074,0.981111196062653,2,1.04699752257582,2.29175101327111,0.00864747691899947,0.00122332208075102,7.06884724396587,1.41220368681551,0.791095516681455,6.7484433240338,0.604782576767362,6.88823012839355,0.00744152071468116,0.000940076386081483,7.91586814099184,1.47469320392467,0.73911721459191,7.84028560162362,0.617953157547122,8.3614517370778
18,0.999994215271873,5.78472812684527e-06,0.00603324709969525,0.00132339165648441,4.55892786548359,0.888543628069099,0.976193559877527,2,0.815917090921781,2.25243119381629,0.00620917786005853,0.00119349913678094,5.20249882777939,1.1322772391115,0.928620611539792,6.99047790899906,0.707869236069033,7.36642688940705,0.0109086199952041,0.0016187986371635,6.73871335493488,1.26463842889056,0.879180690199416,4.01534605160052,0.464464666963432,4.12664810009956
19,0.99999179774764,8.20225235975691e-06,0.00612656735892631,0.00130340663663189,4.70042670241257,0.895963600129708,0.975304025053622,2,0.920548506123571,2.25421122340946,0.00901696105380964,0.00134424680738266,6.70781660353447,1.26717479937663,0.877999781131437,5.03537477939362,0.502206916229243,5.25574328993557,0.00849441190209007,0.00127603719072235,6.65686859587648,1.36949955393513,0.82107430617333,6.83352236247522,0.562867432954496,6.92725555086279
20,0.999991779220368,8.22077963191781e-06,0.00506278425022705,0.001303265738772,3.88469066561778,0.808499426025195,0.98424179911326,2,1.09896166244353,2.2467175839874,0.00865174758778593,0.00147063692341386,5.88299358600506,1.25836243935554,0.882060046722183,6.06296855607126,0.561873733853616,6.30205002095361,0.0116487864821246,0.00180881576435069,6.44000716474636,1.16809204824803,0.9173757822103,2.99300206508306,0.371309600828444,3.24766463481135
21,0.999991453193044,8.54680695572263e-06,0.00580001685202407,0.00130081163568457,4.45876765929429,0.869801341752047,0.978324633011972,2,0.899293998261449,2.25526217064563,0.00552321505155992,0.00127221316995377,4.3414226341963,0.946888101671722,0.968434764038219,5.36211433085854,0.754715451710528,5.30584940987554,0.00718619827085593,0.000974956052868938,7.3707919959157,1.47077406906245,0.742690092616674,8.81926102440842,0.639197437649641,8.99070510827084
22,0.999989411126095,1.05888739045934e-05,0.00551385730326047,0.00128639567046202,4.28628409584131,0.846396831657911,0.98076520859934,2,0.884137469810483,2.2460895004307,0.0112035967482882,0.00198334029256455,5.64885248905091,1.14225738117137,0.92562707884714,3.67726979259288,0.435060744076102,3.808225874485,0.00679333377654255,0.00130660319259054,5.19923249465948,1.03317039220901,0.953225454365582,4.60104054263828,0.75300109717852,4.8776497046444
