controller,fid,err,M_H0,Mm_H0,Mp_H0,zeta_H0,M_H1,Mm_H1,Mp_H1,zeta_H1,M_H2,Mm_H2,Mp_H2,zeta_H2
1,0.999999884878897,1.15121103427818e-07,0.00645612780561637,0.00645612780561637,0.00647198219565845,0.000194226577654761,0.0101178329900048,0.0101178329900048,0.0101364719429586,5.14009398129988e-05,0.0108421215950913,0.010843499885894,0.0108421215950913,6.28172937229767e-05
2,0.99999982066202,1.79337980465988e-07,0.00609947836336875,0.00609947836336875,0.00612622641495188,0.000346937437847981,0.00734284213931773,0.0073784314790348,0.00734284213931773,-7.78456137635103e-05,0.00774821191717728,0.00775841088109684,0.00774821191717728,-0.000111177866229029
3,0.999999519776948,4.80223052101714e-07,0.00553550467404749,0.00553550467404749,0.00554356315260927,-0.000280565750542997,0.0100146204292068,0.0100151242270929,0.0100146204292068,-2.36844478118526e-05,0.00885569405455693,0.00885569405455693,0.00886340840589445,-3.82690806127836e-05
4,0.999999183530933,8.16469067133063e-07,0.00654526387551317,0.00654526387551317,0.00659615177794285,0.000607850088676952,0.0117842051978644,0.0117842051978644,0.0117866108575558,-0.000148563049656508,0.00826988932633581,0.00833364474655774,0.00826988932633581,-8.83945284841138e-05
5,0.999998994753117,1.00524688306791e-06,0.00531976782750142,0.00531976782750142,0.00535408146941087,0.00109740168575031,0.00890732497553278,0.00891227794930428,0.00890732497553278,-8.73898294559346e-05,0.00954016845238051,0.00954016845238051,0.00954396276950946,-4.70276375479124e-05
6,0.999998935027358,1.06497264185101e-06,0.00609525384104153,0.0061077415499001,0.00609525384104153,-0.000130088130678214,0.00637683188700309,0.00637683188700309,0.0063784156815182,0.000136662337693827,0.00800589996496631,0.00800589996496631,0.0080066791429245,-0.000272421974721613
7,0.99999834943553,1.65056447043455e-06,0.00580844039488416,0.00580844039488416,0.00582323609654238,-5.15940505532628e-05,0.00738653965794122,0.00738653965794122,0.00739044582215141,4.92535383277586e-05,0.0101208348260325,0.0101208348260325,0.0101340968874567,-6.44060296164806e-05
8,0.999997609910987,2.39008901270488e-06,0.00562917041166672,0.00562917041166672,0.00563374607424931,-0.000380629531416691,0.0118371674851559,0.0118428590702648,0.0118371674851559,0.000142009258842124,0.00940922769826018,0.00942253240701719,0.00940922769826018,0.000189581190083574
9,0.999997251549313,2.74845068692908e-06,0.00548105337312437,0.0054823679549848,0.00548105337312437,-0.000140719912458185,0.00770350327613917,0.00770350327613917,0.00773457320859251,0.000263016330861339,0.0083440888012429,0.00834467277584763,0.0083440888012429,0.000288246149049315
10,0.999996430563813,3.5694361865124e-06,0.0061547502723286,0.0061547502723286,0.00619388861619221,0.00134865337387138,0.00791892806673791,0.00792638639189692,0.00791892806673791,1.54718076301999e-05,0.00753683167061698,0.00753683167061698,0.00754886214815521,2.57867553690289e-05
11,0.99999638326992,3.6167300803136e-06,0.00614129451215673,0.00624104426883626,0.00614129451215673,-0.00310159193176882,0.00946193286419781,0.0095089986816065,0.00946193286419781,-6.04559320978192e-05,0.0124534400665308,0.0124534400665308,0.0124625393368651,-0.000136877397798342
