controller,fid,err,M_H0,Mm_H0,Mp_H0,zeta_H0,M_H1,Mm_H1,Mp_H1,zeta_H1,M_H2,Mm_H2,Mp_H2,zeta_H2
13,0.9999957175219889,4.28247801109727e-06,0.004954859953816991,0.004954859953816991,0.005087544065390423,0.005371010077895449,0.00828142527447323,0.008283274367338344,0.00828142527447323,0.00011534511327159714,0.008237015830067348,0.008289735213668412,0.008237015830067348,4.6449858249760406e-05
14,0.9999949655878757,5.03441212429401e-06,0.00627961771580391,0.00627961771580391,0.006505534244602364,0.005379319975865294,0.006259383453606968,0.006259383453606968,0.006273732518238576,0.00011815480039091951,0.009652100949581029,0.009652100949581029,0.009745555830485282,0.00011691302990248881
15,0.9999948004295495,5.19957045053143e-06,0.005738119680390169,0.005738119680390169,0.00580321127783138,0.0013969261921326298,0.00756361837583421,0.00756361837583421,0.0076057575157909545,0.00040342452678706774,0.010167234202809503,0.010167234202809503,0.010179231492096713,-7.477521084863338e-05
16,0.9999946724644592,5.32753554083332e-06,0.0067699631257640966,0.0067699631257640966,0.006919008516064011,0.002931082359584782,0.014455186823878023,0.014548934215217224,0.014455186823878023,-4.79326596481483e-06,0.011521496243052893,0.011558456394886988,0.011521496243052893,-3.0889770540802566e-05
17,0.9999944998331917,5.50016680833654e-06,0.005471430129555723,0.005471430129555723,0.005676326268487384,0.005810320930205825,0.008647476918995721,0.008647476918995721,0.008672932176039354,0.00010014131580603458,0.007441520714680772,0.007441520714680772,0.007477735675973363,-7.709350723244282e-05
18,0.9999942152718732,5.78472812684527e-06,0.006033247099694443,0.00611207670840928,0.006033247099694443,-0.002832717943587824,0.006209177860057695,0.006251695127515057,0.006209177860057695,-0.0004728381909403306,0.010908619995201374,0.010970139700001692,0.010908619995201374,-0.0004332044991461332
19,0.9999917977476402,8.20225235975691e-06,0.0061265673589267124,0.0061265673589267124,0.00623292847671964,0.0031583572899788886,0.009016961053808985,0.009016961053808985,0.009048710794072065,0.00048146011881557155,0.008494411902086212,0.008494411902086212,0.008533119021737104,0.0001902174531333247
20,0.9999917792203681,8.22077963191781e-06,0.005062784250226369,0.005136335238203452,0.005062784250226369,-0.003077412508254238,0.008651747587786345,0.008658298025496239,0.008651747587786345,-8.259492336061531e-07,0.01164878648212593,0.011670096607957,0.01164878648212593,4.52992416450636e-05
21,0.9999914531930443,8.54680695572263e-06,0.005800016852025285,0.005800016852025285,0.0058202315485065895,0.0002832231824301613,0.005523215051558783,0.005542381812521167,0.005523215051558783,-3.3588532055459604e-05,0.007186198270858949,0.007188249603143,0.007186198270858949,0.00018792398705718734
22,0.9999894111260954,1.05888739045934e-05,0.005513857303260742,0.0055325343032681315,0.005513857303260742,-0.0008261160197718615,0.011203596748285981,0.01122350387202916,0.011203596748285981,-5.819057726228224e-05,0.006793333776541836,0.006822168049079641,0.006793333776541836,-0.0001096949533305379
