controller,seed,fid,err,M_H0,r0_H0,rfs_H0,KM_H0,KMtv_H0,M_X1,r0_X1,rfs_X1,KM_X1,KMtv_X1,M_X2,r0_X2,rfs_X2,KM_X2,KMtv_X2,M_X3,r0_X3,rfs_X3,KM_X3,KMtv_X3,M_X4,r0_X4,rfs_X4,KM_X4,KMtv_X4,inradius_l2,n_evals_iter,n_steps_iter,n_evals_fs,n_evals_kosut,t_iter_s,t_fs_s,t_kosut_s
1,20260802,0.9999999999320418,6.795819462723784e-11,0.0011130907713715805,0.00016725561669465506,0.00033436831185049745,0.0005221431746199978,0.00015267387895476466,0.017748548935379707,0.0009260398510022662,0.0018512883920137374,0.004314075626971841,0.0016232986957045966,0.015227643684696363,0.0008325322768698018,0.0016643531468734376,0.0038238596120932417,0.0014641744144323786,0.016200088725587418,0.0008521112545421095,0.001703494371792656,0.004413772909021857,0.0015281138019006954,0.018771157821560296,0.0008975532763548417,0.0017943395847718764,0.004148882933918471,0.0015665756079258442,0.00015622265163458854,2250,658,0,0,7.117456622887403,0.010404584812931716,5.138436724198982
2,20260803,0.9999999999736017,2.639832796802466e-11,0.001168585324231899,0.00016725562364577665,0.00033440115675705147,0.0005043955372639647,0.0001526882490829654,0.02121439938036291,0.0009492301845057912,0.001897835569342073,0.004106576085642732,0.0016195629176625548,0.016783801258152854,0.0008332849155534904,0.0016660213486120673,0.0036565334489182854,0.0014336001494433407,0.013638522060285537,0.0008718272727403059,0.0017430806937418354,0.0034532656771668955,0.001483481454749039,0.01537634115393854,0.0008060685004323454,0.0016116064326833447,0.003414264700999578,0.0013783817162538743,0.00015588579218059418,2246,660,0,0,7.110490677063353,0.011404813965782523,5.166849646018818
3,20260804,0.9999999999744394,2.5560553673642517e-11,0.001164962384565838,0.0001672556237858991,0.00033440202591435814,0.000551146019723089,0.00015268862935044708,0.018078204222778588,0.0009457076065444218,0.0018907976449024809,0.003998674277275874,0.0016180980903480943,0.012592980389219808,0.000848431840749498,0.0016963096365600334,0.003081691432058066,0.0014139202582246554,0.013685952812385079,0.0008650875223721285,0.0017296101232732448,0.0034558880738483223,0.001481919760646262,0.017740163466490835,0.0008894861942552085,0.0017783915341618006,0.004049360851437496,0.0015432542523249214,0.00015645183857304832,2122,598,0,0,6.692968171089888,0.010410615941509604,5.043134215171449
4,20260805,0.999999999989175,1.0825007557002664e-11,0.0010183748402430972,0.00016725562625050214,0.00033442069814068755,0.0004766889910974311,0.0001526967986694797,0.016297235080752946,0.0009172017318330506,0.0018339068787800235,0.0036596847371677104,0.0015628400806636062,0.015475788687495514,0.0009104055574017316,0.001820318209454164,0.003788425236093551,0.0015641508255593523,0.015619340928666564,0.0009570726219273393,0.00191362707235278,0.0039001834489433493,0.0016348997990305422,0.018283905593394385,0.0009397668274394911,0.0018790248529581542,0.004195616370024632,0.0016229754040194627,0.00015739519069266896,2190,597,0,0,7.066484370967373,0.010447709821164608,5.0247292320709676
5,20260806,0.999999999974713,2.5286994720374878e-11,0.0010142284989399027,0.00016725562383165338,0.00033440231279723877,0.00041436240815759294,0.00015268875486537122,0.01843046297088799,0.0010553118946145866,0.0021099364565268924,0.003984689830854505,0.0017633708715194126,0.017842825594617938,0.000967692054049653,0.0019347538428688281,0.004251639997325866,0.0016917718766678214,0.014335812365492306,0.0008603549441369603,0.0017201495325234629,0.0042008132189602365,0.0015332872369402248,0.01385360057035691,0.0007509265601965188,0.0015013640361853562,0.003279296372614229,0.0012970125125975427,0.00015648497601606325,2159,599,0,0,6.97349245485384,0.011187789961695671,5.174742431030609
6,20260807,0.9999999999839255,1.607447508433779e-11,0.00087974223628586,0.00016725562537249914,0.0003344130926357263,0.00038823284750208876,0.00015269347117599047,0.01535499989315554,0.0009666249299832232,0.0019326825721679578,0.004207152036387082,0.0016948190690632909,0.012619227300904564,0.0008302296705892865,0.001659972100318691,0.0036729153177460874,0.001462672560638372,0.016996340124087694,0.0010314793063354046,0.002062353263474108,0.004377098016619378,0.0017952683189611475,0.019768490044131476,0.0009017567666097301,0.0018029843149104405,0.0036918529988073674,0.0015116345448678305,0.0001572560282235164,2080,581,0,0,6.621946394909173,0.011355023132637143,5.224880717229098
7,20260808,0.9999999999842106,1.578936981161405e-11,0.0010558946456828032,0.0001672556254201846,0.00033441347033629897,0.0004686432461387756,0.0001526936364243659,0.013657920459228496,0.0009556917950755188,0.0019108248763545748,0.003576485921199012,0.0016153137033456226,0.01442279801161724,0.0008474487071205752,0.0016944019812083434,0.00384892476023185,0.0014854885281881049,0.01555503913695225,0.0008653824981552274,0.0017302590788761645,0.004429402614460533,0.0015510878629772175,0.01890064935415995,0.0008200694840349808,0.0016396595414000356,0.0037949148613314722,0.001417389760904513,0.00015606628642401431,2153,613,0,0,6.994022778933868,0.010725941159762442,5.021279048058204
8,20260809,0.9999999999783441,2.165589929603584e-11,0.0011103117575364484,0.00016725562443897454,0.00033440627891323006,0.0005092134090219102,0.00015269049009087771,0.013140741577477782,0.0007593202694333292,0.0015181639879455148,0.003565526383500443,0.0013359786705534403,0.01674864676128921,0.0008820047846322562,0.0017634560212960338,0.0031798122920758997,0.0014360894352921517,0.01470376892360879,0.0008343124177955308,0.0016681012194474827,0.004102731689848978,0.0014890631414665057,0.019420620028515568,0.0009829336965850837,0.001965250502014502,0.00446214496023686,0.0017084546572784642,0.00015572164207777744,2174,626,0,0,6.960378414019942,0.011120645212940872,4.923349307035096
9,20260810,0.9999999999792683,2.073174965033786e-11,0.0010806365603916247,0.00016725562459354377,0.0003344073404513243,0.0005274362197983189,0.00015269095452682862,0.01247761681526506,0.0008159457791137641,0.0016313846461606535,0.0033185373062064715,0.0014129728869970589,0.016609797986388918,0.0007836329913736798,0.0015667791452276417,0.00409767925584174,0.0014084363696503905,0.016182048607610813,0.0009118909862213228,0.0018232154537395381,0.0038692308047166305,0.0015759909829117305,0.01646409047798659,0.0009371818501167915,0.0018737814694030053,0.0035013523007503783,0.001554921207704057,0.00015575923457760075,2139,611,0,0,6.738387099117972,0.010695593897253275,5.053458091104403
10,20260811,0.999999999964681,3.531896997088779e-11,0.0011338733674400921,0.00016725562215374906,0.0003343926429668806,0.0005075110403130353,0.00015268452418613253,0.01638376166322876,0.0008391794771595158,0.0016777638902504628,0.0030289104100640605,0.001369746516112973,0.01602595857607601,0.0008098053581164026,0.0016190364814186024,0.004123466738917979,0.0014425734989126089,0.016119363474078423,0.0009345623700267321,0.0018684620397594563,0.0044618895584842095,0.0016535090429112835,0.014867345718509253,0.0008393575045750965,0.0016781198188419806,0.003616006721436058,0.0014526872946008813,0.0001556881712403514,2179,632,0,0,6.960209789103828,0.010346285998821259,5.0036566379712895
