kind,seed,err,fid,M_H0,rfs_H0,M_X1,rfs_X1,madv_X1,madvF_X1,M_X2,rfs_X2,madv_X2,madvF_X2,cancel_H0,cancel_X1,cancel_X2,inradius_gauge
nominal,20260810,1.2738698984549046e-12,0.9999999999987267,0.00866739928752079,0.0035239176397819853,0.017939510952416825,0.009213864735251969,0.015880154027647392,0.9989533738178622,0.042044568032119645,0.01364632157841644,0.03015635622353117,0.9989558868073296,10.278708081232748,4.983200260604132,2.1206440094510275,0.0017789078405889703
nominal,20260811,1.2438938767900254e-12,0.9999999999987572,0.00726047214824209,0.003523919156403293,0.02085616291557872,0.008607518543675117,0.01740098297941261,0.998975324833765,0.04379169526220099,0.00942139025613606,0.020412921543860953,0.9989654765216457,12.30265614994267,4.286056807880336,2.0262740390063065,0.0017800727868085653
nominal,20260812,1.5093482019779003e-12,0.9999999999984899,0.006570055778372351,0.003523906445552424,0.02451305417483636,0.008003227993544679,0.01825894808257669,0.9989794501092072,0.0387922813304226,0.00882014046402621,0.022787913722755068,0.9989199444706102,13.609542277794178,3.6464989260897456,2.2978529183622682,0.0017791976317366412
nominal,20260813,7.792655409843974e-13,0.9999999999992196,0.006714769732637177,0.0035239449429576184,0.044247723370757594,0.01038967741085667,0.018932495931397446,0.9989799073648499,0.03137720985095621,0.008345694200984036,0.016847057560504097,0.9989954904055405,13.322473729787607,2.0042378333639586,2.845593139920651,0.0017826389802059605
nominal,20260814,1.6614487563515468e-12,0.9999999999983383,0.006046364709317006,0.003523899738922674,0.02320421920873929,0.006735820021965317,0.01603408995841374,0.9989598737759671,0.03279630902286723,0.0070285017716649936,0.014806548464314846,0.998946422636737,14.785806551973844,3.853201867178713,2.7253204470980568,0.0017748541588278788
nominal,20260815,9.513501098012966e-13,0.9999999999990475,0.006607812422923672,0.003523934629824887,0.018489469137512957,0.008625420035175734,0.0165998470401336,0.9989702680341285,0.040724543621225615,0.010743195613068619,0.02400055029357786,0.9989592254926606,13.51349064335311,4.833932144610937,2.189186677847121,0.0017794807855779457
nominal,20260816,2.4091839634365897e-13,0.9999999999997581,0.006999904896331405,0.003523988572285633,0.025890368875664413,0.00720424999202659,0.01556234144689576,0.9989921828210742,0.03666223635508303,0.010957555809767192,0.024600318881729442,0.9989930534257004,12.773211311822775,3.4443322255467472,2.4345791698020167,0.001779247685550665
nominal,20260817,4.689582056016661e-13,0.9999999999995312,0.006025186251018409,0.0035239670803060086,0.020044279995806616,0.005771466519855029,0.014886944473290802,0.9989240319797291,0.01707642594401975,0.004714141869894558,0.00977392015426322,0.9989043879358274,14.835280210241516,4.452897810367752,5.218251742260084,0.001767071298999017
nominal,20260818,3.5627056860221273e-13,0.9999999999996436,0.006263987797893559,0.0035239768580334935,0.01844710683657355,0.005964157477143043,0.012730107270018932,0.9989582225494538,0.023108629387998583,0.006603336217977925,0.013411979157637484,0.9989203682611641,14.2469450323319,4.849262440738259,3.8591166094134093,0.0017681215539482574
nominal,20260819,1.2503331703328513e-12,0.9999999999987491,0.00606793841924801,0.003523918752009897,0.02395396943408553,0.007264235795186035,0.0167901037029169,0.9989439885359708,0.035388384089335895,0.008938591243680407,0.017151474117858948,0.9989697317839287,14.740476137667265,3.726065196404524,2.525748384151336,0.0017741685067052821
