controller,fid,err,M_H0,KM_H0,ratio_H0,KTOb_H0,Kflb_H0,wunc_H0,wavg_H0,wdev_H0,M_H1,KM_H1,ratio_H1,KTOb_H1,Kflb_H1,wunc_H1,wavg_H1,wdev_H1,M_H2,KM_H2,ratio_H2,KTOb_H2,Kflb_H2,wunc_H2,wavg_H2,wdev_H2
1,0.999999884878897,1.15121103427818e-07,0.00645376211457904,0.00324615704167133,1.98812381278271,0.607139051950309,0.995340576384574,2,0.844315457131157,2.22361561781176,0.010113432028921,0.00329999128712229,3.0646844639824,1.02239825826118,0.955404365563966,5.64103122919798,0.47752074224686,5.81991841330684,0.0108371327210403,0.00383987417805599,2.82226245405958,0.924095115981614,0.97168071901993,4.43738222975162,0.45563900825031,4.75607747311904
2,0.99999982066202,1.79337980465988e-07,0.00609753422555748,0.00308524400087988,1.97635396870346,0.602744961834495,0.995480110004867,2,0.896378576088481,2.11341933181387,0.0073399177692771,0.0024836398460552,2.95530681750624,1.01352780399009,0.957134366328261,7.9770898847211,0.581874266204859,7.9732614065975,0.00774473135745821,0.00245530890064086,3.15427983641356,1.07814151843733,0.943139328490345,8.11702802978182,0.578013427416763,8.15916917400032
3,0.999999519776948,4.80223052101714e-07,0.0055338308008971,0.0027076396737726,2.0437840583074,0.610668336075623,0.995226081642081,2,1.03270003612812,2.17906677072238,0.0100102574584916,0.0030483515697313,3.2838264319276,1.12217786226749,0.931544906142531,6.540712894509,0.457386507840071,6.67649288156346,0.0088517028217506,0.00346712052862591,2.55304156537607,0.845915779387834,0.98081292180899,4.96652190106724,0.515040491204935,5.04856008523115
4,0.999999183530933,8.16469067133063e-07,0.00654245493790661,0.00386191255749067,1.6940971191118,0.559961629193002,0.996675322716272,2,0.691787702906055,2.18037316582867,0.0117791374595514,0.00469777423217087,2.50738687672272,0.822693132439488,0.983004941180188,3.44303515660182,0.397022122738749,3.68634207068174,0.00826595795407548,0.00337167710135969,2.45158646738209,0.794649735861293,0.985377704563908,4.60940113355484,0.583275801719749,4.82893803705632
5,0.999998994753117,1.00524688306791e-06,0.00531784064204814,0.00300032337303165,1.7724224961374,0.567653080735966,0.996481135459864,2,0.92211320291411,2.20112537587012,0.00890390124742133,0.00406872433687038,2.18837662869786,0.690620058591647,0.991981260149813,3.08403423242532,0.568161317303789,3.15245684098822,0.00953593897736621,0.00365096555110091,2.61189508471006,0.842615406812021,0.981137688790045,4.33815065679696,0.524005240440599,4.6213479496933
6,0.999998935027358,1.06497264185101e-06,0.00609331385177605,0.0034386483591697,1.77200842171816,0.571361348683398,0.996384413376279,2,0.789259601316608,2.26848377569587,0.00637406152863805,0.00225358008037462,2.82841581009114,0.959536089326146,0.966505255894883,8.4057126711624,0.684369446306691,8.57591596736684,0.00800270512502775,0.00335695051927407,2.38392108524683,0.777423658620842,0.986697671289109,4.58524923698694,0.58635648461201,4.88618540118847
7,0.99999834943553,1.65056447043455e-06,0.00580664625731843,0.00296657505199397,1.95735693705626,0.598665221807536,0.995606714169437,2,0.934004138075725,2.17457148895133,0.00738345241498458,0.00287758342764183,2.56585172963527,0.833850493040116,0.98197862147823,5.6590781266506,0.657212176017621,5.82241140001016,0.0101163869541821,0.00320609202473051,3.15536387481967,1.06139076730529,0.947090497638032,5.86837849110884,0.469632977337655,6.22727418613286
8,0.999997609910987,2.39008901270488e-06,0.00562706318904788,0.00314402222526066,1.78976571597911,0.571334781134282,0.996385113618404,2,0.87567827505664,2.15974455984879,0.0118313190275301,0.00381935761794781,3.0977248561205,1.0196083822083,0.955954640664061,4.74495277855648,0.428252638205496,4.92217693824805,0.00940528688304788,0.00291927218467666,3.2217916960318,1.07566829412229,0.943737877972048,6.49839099524488,0.524256912683748,6.65854247773297
9,0.999997251549313,2.74845068692908e-06,0.00547949730547618,0.00295523741481722,1.8541648390084,0.581128453670819,0.996119720883129,2,0.936959269977728,2.19568433187636,0.00770027101037807,0.003563069124643,2.16113433138898,0.693477626873013,0.991839492239602,3.73273773934866,0.625077039719359,3.85780528807831,0.00833996668931119,0.00356532813728381,2.33918628753898,0.755907766608854,0.988210314178019,4.20265236168124,0.574344441504753,4.31794602986061
10,0.999996430563813,3.5694361865124e-06,0.00615238910843129,0.00355250761507603,1.73184403105062,0.564197740476414,0.996569435156785,2,0.761194048481767,2.19154594654002,0.00791500800072287,0.00246858313220679,3.20629591017551,1.07567278356779,0.943736796303789,7.76297600635256,0.609723364857032,7.92798871280595,0.00753314969303569,0.00316673952615175,2.37883464390582,0.787610171716064,0.985929258589779,5.05639331068696,0.590874248547322,5.47166242888044
11,0.99999638326992,3.6167300803136e-06,0.00613886045398592,0.00329933255375258,1.86063706945931,0.584973880918683,0.996011458972648,2,0.828329282920017,2.18737019127424,0.00945725833054946,0.00403407905000702,2.34434135110292,0.785147568677134,0.986118208012006,4.06512937755058,0.45047350573359,4.4109256931827,0.0124472700792252,0.00477602263108767,2.60619997866101,0.853496655039937,0.980049745087491,3.46547818138014,0.381881267406,3.66909146948793
12,0.999995954882849,4.04511715135225e-06,0.00565526432450446,0.00285323000564389,1.982056936636,0.601603044260205,0.995515830329118,2,0.97294277049368,2.20897143425295,0.00633188351795371,0.00311938249514685,2.02985159011596,0.677459118158072,0.992609246063273,4.63619181194424,0.666258183585101,4.92153311981341,0.0107241307461525,0.00353959336609118,3.02976348890475,0.987598273195747,0.961874164035613,4.98956007258444,0.480749649899349,5.15838493212164
13,0.999995717521989,4.28247801109727e-06,0.00495317211088903,0.0027198593486726,1.82111332827058,0.573405637800755,0.996330214083516,2,1.02599672743237,2.16278603203427,0.00827778909005897,0.00284207340071018,2.91258807319703,0.972073971834913,0.964497393031404,6.531996033354,0.564805577885123,6.59746757291328,0.0082335858005589,0.00338750419832526,2.43057582175971,0.788909302555408,0.985828750307811,4.56243975065814,0.579157741848725,4.83196989897672
14,0.999994965587876,5.03441212429401e-06,0.0062775184508593,0.00341796608444488,1.83662397337065,0.581211359961028,0.996117411248107,2,0.796686647138027,2.12785148335367,0.0062566336005734,0.00257953490485597,2.42548902470569,0.8216944432351,0.983094451682211,6.88782261025164,0.657431672922362,7.06133029227203,0.00964739504675271,0.0038591645464181,2.49986620956781,0.823094641069737,0.982968847051006,4.24402922389156,0.476228877916669,4.52119730036635
15,0.999994800429549,5.19957045053143e-06,0.00573523720752137,0.00295155470311863,1.94312414452677,0.595238196262977,0.995710904841772,2,0.93905919872304,2.10547507391989,0.00756046747540924,0.00253598257912712,2.98127737060857,1.01237966640761,0.957354137230539,7.64175149853906,0.585844631315568,7.72429570892535,0.0101627040758414,0.00302905680761102,3.3550721301449,1.14924609463124,0.923467693728422,6.69117938937544,0.448536821821683,6.73524125328279
16,0.999994672464459,5.32753554083332e-06,0.0067669523056746,0.00377484587234378,1.79264333816974,0.577559696737143,0.996218129216629,2,0.706387644991562,2.26968695277474,0.0144486620970476,0.00480930399449638,3.00431457724074,0.987935816666036,0.961815390782654,3.7323673523107,0.344963344609219,3.86137425916662,0.0115160850650022,0.0033802596000773,3.40686409550878,1.14854997704267,0.923685152157413,5.76369657703876,0.42495050757814,5.96292990850552
17,0.999994499833192,5.50016680833654e-06,0.00546962334887394,0.00266192479422833,2.0547625390219,0.611926253892134,0.995184744862604,2,1.04699752257583,2.29175101327112,0.00864361503823295,0.00270331618370071,3.19741179013705,1.04645621634704,0.950416081576794,6.7484433240338,0.604782576767365,6.88823012839358,0.00743824409377477,0.00240540225825029,3.09230777025437,1.0449292270135,0.950745990248473,7.84028560162362,0.617953157547125,8.36145173707786
18,0.999994215271873,5.78472812684527e-06,0.00603124315884276,0.00333439692873868,1.80879579958234,0.576307254567204,0.996252199781292,2,0.815917090921779,2.25243119381629,0.00620621073276813,0.0024590693949683,2.52380463335731,0.842533557368462,0.981145686033361,6.99047790899906,0.707869236069029,7.36642688940703,0.0109038459643241,0.00405839257650281,2.68674007227762,0.864367373742931,0.978912530769534,4.01534605160052,0.46446466696343,4.12664810009955
19,0.99999179774764,8.20225235975691e-06,0.00612408030867296,0.00299133609262684,2.04727256284168,0.613428900159541,0.995134999053834,2,0.920548506123574,2.25421122340946,0.00901313479782443,0.00344250168392168,2.61819328656267,0.869088240280315,0.978402534430601,5.03537477939362,0.502206916229244,5.2557432899356,0.00849073227344115,0.0027594768160182,3.07693553508194,1.02693884145819,0.954496509749831,6.83352236247522,0.562867432954496,6.92725555086282
20,0.999991779220368,8.22077963191781e-06,0.00506056903673623,0.00254409455806581,1.98914345407963,0.599644836880626,0.99557657064967,2,1.09896166244352,2.2467175839874,0.00864828844537397,0.002950331455669,2.93129384793578,0.966722992859607,0.965366154022535,6.06296855607126,0.561873733853614,6.30205002095356,0.0116435137169392,0.005184636844316,2.24577228194954,0.745589515992299,0.988885125380277,2.99300206508306,0.371309600828442,3.24766463481135
21,0.999991453193044,8.54680695572263e-06,0.00579808093078276,0.00305425349158537,1.89836270851676,0.589040179651671,0.995894428670245,2,0.899293998261446,2.25526217064563,0.00552063305148008,0.00276648958065538,1.99553726501736,0.667148955544346,0.993073495786021,5.36211433085854,0.754715451710525,5.30584940987554,0.00718261041330614,0.00223019957547215,3.22061329950058,1.09355334098573,0.939287096765836,8.81926102440842,0.639197437649637,8.99070510827085
22,0.999989411126095,1.05888739045934e-05,0.00551197369649012,0.00309880261038152,1.77874307902803,0.568426523100911,0.996461130286229,2,0.884137469810483,2.24608950043071,0.0111981434763752,0.00436714643772949,2.56417860862874,0.82911197993142,0.982420447319099,3.67726979259288,0.435060744076102,3.80822587448501,0.0067899833271679,0.00290809572197779,2.33485551244168,0.734556898545436,0.989572175391334,4.60104054263828,0.753001097178524,4.8776497046444
23,0.999988582740128,1.14172598717488e-05,0.00468039803648693,0.0024019622710154,1.94857267033938,0.59126963059358,0.99582913565759,2,1.16803961437797,2.18978393113423,0.0104460589380766,0.00388972349885904,2.68555308395074,0.864849520543398,0.97886089798221,4.18725126138734,0.480011269896169,4.34909605019507,0.00986086944897615,0.00304557001875343,3.23777466558207,1.0997736659182,0.937671053008788,6.48597552816308,0.46434556879475,6.58744517468405
24,0.999986823987406,1.3176012593874e-05,0.00573018291606157,0.00307153786570788,1.8655745644669,0.582773624185494,0.996073688169752,2,0.89216396940112,2.22589964324629,0.00973916078426063,0.00394246216024935,2.47032447957463,0.81759977663965,0.98345747723177,4.14225738587368,0.456905822925277,4.54148211948196,0.0074278138490624,0.00287476414311562,2.58379939336946,0.845902064428368,0.980814280719995,5.72239290169676,0.630731310269674,6.11590320825149
25,0.999986196497126,1.38035028739436e-05,0.00570195047998702,0.00274870194126124,2.07441570669924,0.614521985772908,0.995098559656893,2,1.00747237563059,2.25308758821468,0.0110698434999036,0.00342026334393863,3.23654712714492,1.06439889584477,0.9463984874279,5.3417828441805,0.463015149521489,5.60428854054437,0.0116153807789037,0.00329549260979919,3.52462655943005,1.19654139294884,0.907394110014355,6.03287344834016,0.413527023850591,6.24407601790533
26,0.999985895558692,1.41044413077829e-05,0.00479683328029113,0.00256227998047803,1.87209567917562,0.580063501869736,0.996149293510785,2,1.08611034394838,2.3063070956947,0.0102516985746348,0.00400174906475645,2.5618044531882,0.857577392338894,0.979628844369381,4.40023661647992,0.421695360595582,4.57515097038455,0.00883238425098935,0.00307411260895645,2.87314922207343,0.949351808924504,0.968066292245172,5.80094700441162,0.53729800050997,6.05505307870583
27,0.999984918272474,1.50817275259563e-05,0.005996063729881,0.00317006969855478,1.89146116648936,0.587896101451693,0.99592762334823,2,0.860039054069921,2.23817568761029,0.0113314803584898,0.00398943746276334,2.84037046933452,0.932135930768096,0.970568583442817,4.3797944903355,0.425590731776958,4.57995419325778,0.0107371996095377,0.00378981199136861,2.83317474164733,0.902461112604276,0.974502938640384,4.25887354055734,0.491002599364913,4.50891032400727
28,0.999983611257572,1.63887424277087e-05,0.00547081345702495,0.00292574890182836,1.86988481944097,0.582208463865654,0.996089549427438,2,0.938546435446202,2.29351106582933,0.010803410502355,0.00246300291611972,4.38627596891967,1.54207120649028,0.670232803140377,8.87812732820668,0.438186453832937,8.9813264000335,0.0151768539329314,0.00521598116310372,2.90968342452767,0.947753054279622,0.968305803313106,3.349895635516,0.328604315590454,3.45027089305233
29,0.999983426502469,1.65734975312581e-05,0.00532464262128339,0.00271837400538784,1.95876013040512,0.59518524945209,0.995712499266037,2,1.01768303646446,2.28224218972905,0.00860097203163409,0.00294234385188614,2.92317025629775,0.965535709929305,0.965556511605685,6.13134079104158,0.555113365993072,6.32786421461064,0.00933788382820125,0.00304374522426671,3.0678927243166,1.03978228766963,0.951844478796885,6.28790267980864,0.476910918211453,6.59797704843384
30,0.999983141323856,1.68586761443157e-05,0.00534522074905274,0.00323106553961359,1.65432136350041,0.546026917727657,0.997005819242551,2,0.842630605808895,2.17020546538653,0.00778705274331741,0.00318335406198761,2.44617865046885,0.794616610512501,0.985380340035209,5.02146308899918,0.602463952626849,5.10766848492504,0.00950881325851774,0.00413218636666005,2.30115788949846,0.744929815224269,0.988927196439505,3.60251559183806,0.490456594424045,3.75362480167246
