controller,dnorm_unit,L_op,L_closed,ratio_L,F_pro_0,r0,M,mu_star,ratio_r0,ratio_M,n_evals
1,4.000000924950063,22.341894607874227,0.9989098495944149,22.366277214050555,0.9999997697578055,8.946285858411444e-05,0.010136466649964973,0.010136472021220483,113.3036902871822,1.0000005298942616,895
2,4.000000924950063,29.82038025204748,1.333274195193925,22.36627721405056,0.9999996413240688,6.702266393573461e-05,0.0073428398550954965,0.007342842164703177,109.55759937778569,1.0000003145387515,892
3,4.000000924950063,28.367439094371385,1.268312952705016,22.36627721405056,0.9999990395541254,7.043425906294838e-05,0.010014613506791337,0.010014620439331726,142.18393964195005,1.00000069224243,1095
