controller,fid,err,F_pro_0,L_gamma,M_gamma,M_gamma_upper,r0_gamma,gamma_star,conservatism_M,conservatism_r0,n_evals
48,0.9999438611998864,5.61388001135699e-05,0.9998877255513337,45.0,4.197376208588688e-05,4.1973804059565016e-05,4.192723447408052e-05,4.1973776013011784e-05,1.0000003318054949,1.0011100550636136,13
49,0.9999436897848124,5.63102151875938e-05,0.9998873827404637,45.0,4.196586727921453e-05,4.196590924499788e-05,4.1919616454749114e-05,4.196588000281033e-05,1.000000303189154,1.0011036252707883,13
50,0.9999403929265362,5.96070734637522e-05,0.9998807894060754,45.0,4.1819227143473485e-05,4.181926896261699e-05,4.177309791278579e-05,4.1819239724024506e-05,1.0000003008317437,1.0011045819808493,13
51,0.9999377005712213,6.22994287786671e-05,0.9998754050236582,45.0,4.169972434062384e-05,4.169976604026478e-05,4.165344497018244e-05,4.169973781091457e-05,1.0000003230306902,1.0011113808417351,13
52,0.9999335906978701,6.64093021298662e-05,0.9998671858059389,45.0,4.151707237707942e-05,4.1517113894068766e-05,4.147079568753092e-05,4.151708631579345e-05,1.0000003357345117,1.001116222331766,13
53,0.9999330801517845,6.69198482154965e-05,0.999866164781833,45.0,4.149430085727717e-05,4.149434235149504e-05,4.144810626295471e-05,4.149431441609003e-05,1.0000003267632562,1.0011148435309003,13
54,0.9999223709138325,7.76290861674855e-05,0.9998447478539394,45.0,4.101820613179321e-05,4.101824714991731e-05,4.0972174531986004e-05,4.101822019042483e-05,1.0000003427412592,1.001123827547959,13
55,0.9999206945115415,7.93054884584699e-05,0.999841395312448,45.0,4.094360254646623e-05,4.0943643489986886e-05,4.089767360995447e-05,4.094361636771844e-05,1.0000003375680533,1.0011233587074446,13
56,0.9999190346862958,8.09653137041622e-05,0.9998380759279699,45.0,4.0870013028937e-05,4.0870053898868286e-05,4.0823909510441975e-05,4.0870027748676885e-05,1.000000360159902,1.0011296869601163,13
57,0.9999084156898567,9.15843101433333e-05,0.9998168397674013,45.0,4.0398032901963064e-05,4.039807329991517e-05,4.0351994831139885e-05,4.0398048425225284e-05,1.0000003842578735,1.0011412965896263,13
58,0.9999069849275312,9.30150724688383e-05,0.9998139785068633,45.0,4.033438975159333e-05,4.033443008590241e-05,4.028841126362753e-05,4.0334405300583755e-05,1.0000003855020623,1.0011416195256562,13
59,0.9999037240988098,9.62759011902126e-05,0.999807457466672,45.0,4.018937360672117e-05,4.01894137960144e-05,4.014349925937694e-05,4.018938897874728e-05,1.000000382489816,1.0011431419835584,13
60,0.9999033447097302,9.66552902698092e-05,0.9998066987617049,45.0,4.017245765535595e-05,4.0172497827733255e-05,4.012663914899751e-05,4.017247289464126e-05,1.0000003793466021,1.0011422273735302,13
61,0.9999009466228718,9.90533771282331e-05,0.9998019030573161,45.0,4.006586736972592e-05,4.006590743551316e-05,4.002006794035691e-05,4.0065882799458484e-05,1.000000385109161,1.001144797134524,13
