generator,n_qubits,dim,raw,certified,gap,rel_inflation,feas_shift,status,solver,closed_form,dev_closed_form
dephasing,1,4,2.000000067474884,2.00000006747489,6.217248937900877e-15,3.1086243640734044e-15,1.7763568394002505e-15,optimal,CLARABEL,2,6.747489011971197e-08
amp_damping,1,4,2.00000000259156,2.0000000025915647,4.884981308350689e-15,2.442490651010414e-15,8.881784197001252e-16,optimal,CLARABEL,2,2.5915647405838627e-09
dephasing,2,16,4.000000072846005,4.000000072846025,2.042810365310288e-14,5.107025820269113e-15,3.552713678800501e-15,optimal_inaccurate,CLARABEL,4,7.284602521195893e-08
amp_damping,2,16,3.999999998476489,4.0000000061582,7.681711267082392e-09,1.920427817502046e-09,1.9204260496867055e-09,optimal,CLARABEL,4,6.158200172023953e-09
dephasing,3,64,6.000001302291928,6.000001302291986,5.861977570020827e-14,9.769960496144597e-15,5.329070518200751e-15,optimal_inaccurate,CLARABEL,6,1.3022919862493154e-06
amp_damping,3,64,5.999999986092247,6.000000043887624,5.7795377372826806e-08,9.632562917799018e-09,7.224420344820708e-09,optimal,CLARABEL,6,4.3887624201488507e-08
coherent_H0,3,64,3.0000004816511514,3.0000004946110828,1.2959931350309262e-08,4.319976423195881e-09,1.7763568394002505e-15,optimal_inaccurate,CLARABEL,,
coherent_H1,3,64,4.00000092495004,4.000000924950063,2.3092638912203256e-14,5.773158393080042e-15,1.7763568394002505e-15,optimal_inaccurate,CLARABEL,,
coherent_H2,3,64,4.000000380757237,4.000000380757261,2.398081733190338e-14,5.99520376229654e-15,1.7763568394002505e-15,optimal,CLARABEL,,
