controller,fid,err,F_pro_0,L_z,L_amp,M_amp,r0_amp,amp_star,conservatism_amp,g_cert_diag,M_diag,g_star_diag,conservatism_diag,conservatism_diag_iter
43,0.999969510522715,3.04894772850117e-05,0.9999390219750451,45.0,45.0,8.622797706365793e-05,4.306715500100249e-05,8.622806041829134e-05,1.0000009666773622,2.1533577500501245e-05,2.8742083691290433e-05,2.8742096220196883e-05,1.334757135433155,1.0000004359080776
44,0.9999564152856523,4.3584714347733e-05,0.9999128324709277,45.0,45.0,8.506367582593526e-05,4.2485166020614056e-05,8.506375780858025e-05,1.000000963779712,2.1242583010307028e-05,2.835403624930932e-05,2.8354048847651903e-05,1.3347740636764536,1.0000004443227226
45,0.9999550715123738,4.49284876261613e-05,0.9999101450433102,45.0,45.0,8.494457655961149e-05,4.2425445406893105e-05,8.494457683425886e-05,1.0000000032332537,2.1212722703446552e-05,2.8314195957841052e-05,2.8314208492592315e-05,1.3347748371778765,1.0000004427020028
46,0.9999470205626795,5.29794373205217e-05,0.9998940439321774,45.0,45.0,8.422832844647642e-05,4.2067642937274975e-05,8.422840926758648e-05,1.0000009595478332,2.1033821468637488e-05,2.8075622974825417e-05,2.8075635580914933e-05,1.3347852943782543,1.0000004490048013
47,0.9999444525464534,5.55474535466338e-05,0.9998889081784259,45.0,45.0,8.399987669993634e-05,4.195351507613064e-05,8.399995485337437e-05,1.0000009303994375,2.097675753806532e-05,2.799951552250736e-05,2.7999528005957425e-05,1.3347881794957244,1.0000004458452167
48,0.9999438611998864,5.61388001135699e-05,0.9998877255513337,45.0,45.0,8.394843689574642e-05,4.192723447408052e-05,8.394844151068564e-05,1.000000054973498,2.096361723704026e-05,2.7982120347896685e-05,2.7982133851321998e-05,1.3347951135971343,1.0000004825733413
49,0.9999436897848124,5.63102151875938e-05,0.9998873827404637,45.0,45.0,8.393175390424587e-05,4.1919616454749114e-05,8.393183043339449e-05,1.0000009118020898,2.0959808227374557e-05,2.7976870825912426e-05,2.7976883064080028e-05,1.3347871679255547,1.0000004374387572
50,0.9999403929265362,5.96070734637522e-05,0.9998807894060754,45.0,45.0,8.363874272118295e-05,4.177309791278579e-05,8.363881986837824e-05,1.0000009223858797,2.0886548956392895e-05,2.78791522926804e-05,2.787916441553343e-05,1.3347903702875843,1.0000004348357834
51,0.9999377005712213,6.22994287786671e-05,0.9998754050236582,45.0,45.0,8.339967444491835e-05,4.165344497018244e-05,8.339975367763963e-05,1.0000009500363378,2.082672248509122e-05,2.7799437305315822e-05,2.779944988000989e-05,1.334797153028283,1.0000004523362804
52,0.9999335906978701,6.64093021298662e-05,0.9998671858059389,45.0,45.0,8.303504131390384e-05,4.147079568753092e-05,8.303504383483463e-05,1.0000000303598426,2.073539784376546e-05,2.7677690436037464e-05,2.7677703425987973e-05,1.334804551835974,1.0000004693292794
53,0.9999330801517845,6.69198482154965e-05,0.999866164781833,45.0,45.0,8.298893375374553e-05,4.144810626295471e-05,8.298901345760309e-05,1.000000960415491,2.0724053131477354e-05,2.7662505323078863e-05,2.7662517806171286e-05,1.33480249402349,1.0000004512639864
54,0.9999223709138325,7.76290861674855e-05,0.9998447478539394,45.0,45.0,8.203660808383961e-05,4.0972174531986004e-05,8.203668535344911e-05,1.0000009418918128,2.0486087265993002e-05,2.734513212217245e-05,2.7345144624771838e-05,1.334815392989412,1.00000045721481
55,0.9999206945115415,7.93054884584699e-05,0.999841395312448,45.0,45.0,8.188768139458206e-05,4.089767360995447e-05,8.188775959503848e-05,1.0000009549721653,2.0448836804977234e-05,2.7295419645498725e-05,2.7295431906635408e-05,1.3348158707976836,1.0000004492012522
56,0.9999190346862958,8.09653137041622e-05,0.9998380759279699,45.0,45.0,8.174111492664917e-05,4.0823909510441975e-05,8.174111748189623e-05,1.0000000312602422,2.0411954755220987e-05,2.7246392102296906e-05,2.724640533453643e-05,1.334825873429262,1.0000004856510716
57,0.9999084156898567,9.15843101433333e-05,0.9998168397674013,45.0,45.0,8.079576616027955e-05,4.0351994831139885e-05,8.079584149200025e-05,1.0000009323721315,2.0175997415569942e-05,2.6931611808261266e-05,2.6931624498758136e-05,1.3348348507407537,1.0000004712119335
58,0.9999069849275312,9.30150724688383e-05,0.9998139785068633,45.0,45.0,8.066918254293325e-05,4.028841126362753e-05,8.066926214969828e-05,1.0000009868299458,2.0144205631813764e-05,2.6889257542040414e-05,2.6889270616464302e-05,1.3348389660001312,1.0000004862322385
59,0.9999037240988098,9.62759011902126e-05,0.999807457466672,45.0,45.0,8.037895661131683e-05,4.014349925937694e-05,8.03790349506925e-05,1.0000009746254364,2.007174962968847e-05,2.6792560882249882e-05,2.6792573515558046e-05,1.3348399621290956,1.0000004715229804
60,0.9999033447097302,9.66552902698092e-05,0.9998066987617049,45.0,45.0,8.034475530109623e-05,4.012663914899751e-05,8.034482873323377e-05,1.0000009139630492,2.0063319574498755e-05,2.6781274262734634e-05,2.6781286626345386e-05,1.3348382617792434,1.0000004616513252
61,0.9999009466228718,9.90533771282331e-05,0.9998019030573161,45.0,45.0,8.01323633399998e-05,4.002006794035691e-05,8.013244222876662e-05,1.000000984480721,2.0010033970178456e-05,2.6710293769613487e-05,2.6710306612938408e-05,1.3348456405793996,1.0000004808380256
