controller,channel,FT,F0_pro,r0,gamma_star,ratio
1,dephasing,0.99,0.9999997697578055,0.00044221710572901106,0.0004468950457903598,1.0105783788115499
1,dephasing,0.999,0.9999997697578055,4.4417105729009795e-05,4.446372520736104e-05,1.0010495838840934
1,dephasing,0.9999,0.9999997697578055,4.43910572900879e-06,4.439571728637785e-06,1.0001049760148648
1,amp_damping,0.99,0.9999997697578055,0.00044221710572901106,0.0008938365726650572,2.021261866818867
1,amp_damping,0.999,0.9999997697578055,4.4417105729009795e-05,8.892791031978056e-05,2.00210952200111
1,amp_damping,0.9999,0.9999997697578055,4.43910572900879e-06,8.87914806188334e-06,2.0002109893124733
2,dephasing,0.99,0.9999996413240688,0.0004422142516459745,0.0004468908069675463,1.0105753157076351
2,dephasing,0.999,0.9999996413240688,4.441425164597322e-05,4.446085708809367e-05,1.0010493353010188
2,dephasing,0.9999,0.9999996413240688,4.436251645972216e-06,4.436717477021874e-06,1.00010500555127
2,amp_damping,0.99,0.9999996413240688,0.0004422142516459745,0.0008937962592406048,2.021183749537216
2,amp_damping,0.999,0.9999996413240688,4.441425164597322e-05,8.892185834658435e-05,2.0021019166411276
2,amp_damping,0.9999,0.9999996413240688,4.436251645972216e-06,8.873436395181657e-06,2.0002103359574006
3,dephasing,0.99,0.9999990395541254,0.0004422008789805649,0.0004469037138575692,1.0106350645160318
3,dephasing,0.999,0.9999990395541254,4.4400878980563636e-05,4.4447743481758136e-05,1.001055485888354
3,dephasing,0.9999,0.9999990395541254,4.4228789805626315e-06,4.423347288193986e-06,1.0001058829855876
3,amp_damping,0.99,0.9999990395541254,0.0004422008789805649,0.0008938899320664162,2.0214567056654436
3,amp_damping,0.999,0.9999990395541254,4.4400878980563636e-05,8.88963019559213e-05,2.002129327098128
3,amp_damping,0.9999,0.9999990395541254,4.4228789805626315e-06,8.846702661210373e-06,2.0002135939258707
4,dephasing,0.99,0.9999983670625309,0.0004421859347229088,0.000446857983614211,1.010565801678495
4,dephasing,0.999,0.9999983670625309,4.438593472290759e-05,4.44324934856638e-05,1.0010489530759432
4,dephasing,0.9999,0.9999983670625309,4.407934722906583e-06,4.408399854113512e-06,1.0001055213464283
4,amp_damping,0.99,0.9999983670625309,0.0004421859347229088,0.0008937500319662513,2.0212086404926253
4,amp_damping,0.999,0.9999983670625309,4.438593472290759e-05,8.886532199984273e-05,2.002105454230286
4,amp_damping,0.9999,0.9999983670625309,4.407934722906583e-06,8.816802909819565e-06,2.0002117690177097
5,dephasing,0.99,0.9999979895072438,0.00044217754460541917,0.00044685637453948773,1.0105813377254238
5,dephasing,0.999,0.9999979895072438,4.437754460541794e-05,4.442417026782784e-05,1.0010506589047337
5,dephasing,0.9999,0.9999979895072438,4.399544605416929e-06,4.400010380142782e-06,1.000105868849535
5,amp_damping,0.99,0.9999979895072438,0.00044217754460541917,0.0008937780254951392,2.0213103003516597
5,amp_damping,0.999,0.9999979895072438,4.437754460541794e-05,8.884898614551272e-05,2.002115865929756
5,amp_damping,0.9999,0.9999979895072438,4.399544605416929e-06,8.800027197366813e-06,2.0002132008235125
6,dephasing,0.99,0.9999978700558564,0.00044217489013014254,0.00044686559575157645,1.010608258691608
6,dephasing,0.999,0.9999978700558564,4.4374890130141314e-05,4.442163260359443e-05,1.0010533541224784
6,dephasing,0.9999,0.9999978700558564,4.396890130140305e-06,4.397356998210384e-06,1.0001061814273864
6,amp_damping,0.99,0.9999978700558564,0.00044217489013014254,0.0008936737844768459,2.0210866886037255
6,amp_damping,0.999,0.9999978700558564,4.4374890130141314e-05,8.884270186206478e-05,2.0020940131121368
6,amp_damping,0.9999,0.9999978700558564,4.396890130140305e-06,8.794708826181292e-06,2.000211186969244
7,dephasing,0.99,0.999996698873779,0.0004421488638617552,0.0004468441226985127,1.0106191810508092
7,dephasing,0.999,0.999996698873779,4.4348863861753963e-05,4.439564848941578e-05,1.00105492280045
7,dephasing,0.9999,0.999996698873779,4.3708638617529556e-06,4.371330814442169e-06,1.0001068330435317
7,amp_damping,0.99,0.999996698873779,0.0004421488638617552,0.0008937220399789221,2.021314794689506
7,amp_damping,0.999,0.999996698873779,4.4348863861753963e-05,8.879163302879744e-05,2.0021174230208523
7,amp_damping,0.9999,0.999996698873779,4.3708638617529556e-06,8.742665090945041e-06,2.0002144581640557
8,dephasing,0.99,0.9999952198276831,0.00044211599617073697,0.00044679537898311306,1.0105840613162727
8,dephasing,0.999,0.9999952198276831,4.4315996170735736e-05,4.436262183022745e-05,1.001052118050378
8,dephasing,0.9999,0.9999952198276831,4.3379961707347275e-06,4.338461208043581e-06,1.0001072009495975
8,amp_damping,0.99,0.9999952198276831,0.00044211599617073697,0.0008936738658566016,2.0213561002019964
8,amp_damping,0.999,0.9999952198276831,4.4315996170735736e-05,8.872605559157094e-05,2.002122557501293
8,amp_damping,0.9999,0.9999952198276831,4.3379961707347275e-06,8.67692951894751e-06,2.0002160392589503
9,dephasing,0.99,0.9999945031061765,0.00044210006902614614,0.0004467727118298616,1.0105691971820052
9,dephasing,0.999,0.9999945031061765,4.430006902614488e-05,4.434662735296661e-05,1.0010509763945121
9,dephasing,0.9999,0.9999945031061765,4.322069026143873e-06,4.322533263592514e-06,1.0001074109288473
9,amp_damping,0.99,0.9999945031061765,0.00044210006902614614,0.0008936039368106384,2.021270747093663
9,amp_damping,0.999,0.9999945031061765,4.430006902614488e-05,8.869383586996787e-05,2.0021150715955502
9,amp_damping,0.9999,0.9999945031061765,4.322069026143873e-06,8.645072519206858e-06,2.0002162082357913
10,dephasing,0.99,0.9999928611403729,0.000442063580897176,0.0004467626308972102,1.0106298057634546
10,dephasing,0.999,0.9999928611403729,4.426358089717475e-05,4.4310396341289664e-05,1.0010576515312593
10,dephasing,0.9999,0.9999928611403729,4.2855808971737414e-06,4.286047113526701e-06,1.0001087872015826
10,amp_damping,0.99,0.9999928611403729,0.000442063580897176,0.0008935813673880382,2.021386529002228
10,amp_damping,0.999,0.9999928611403729,4.426358089717475e-05,8.862134671212132e-05,2.0021278196626393
10,amp_damping,0.9999,0.9999928611403729,4.2855808971737414e-06,8.572099638519493e-06,2.0002188371178873
