controller,fid,err,M_H0,Mm_H0,Mp_H0,zeta_H0,M_H1,Mm_H1,Mp_H1,zeta_H1,M_H2,Mm_H2,Mp_H2,zeta_H2
1,0.999999884878897,1.15121103427818e-07,0.00645376211457944,0.00645376211457944,0.00646955061505586,0.000194226577659526,0.0101134320289187,0.0101134320289187,0.0101319615989357,5.14009398113344e-05,0.0108371327210407,0.0108384489519113,0.0108371327210407,6.28172937217794e-05
2,0.99999982066202,1.79337980465988e-07,0.0060975342255587,0.0060975342255587,0.00612417702035041,0.00034693743783954,0.00733991776927602,0.00737527095417356,0.00733991776927602,-7.78456137733681e-05,0.00774473135746186,0.00775489504432137,0.00774473135746186,-0.000111177866233937
3,0.999999519776948,4.80223052101714e-07,0.00553383080090021,0.00553383080090021,0.00554178307646646,-0.000280565750538451,0.010010257458491,0.0100107731446487,0.010010257458491,-2.36844478061574e-05,0.00885170282175117,0.00885170282175117,0.00885933568068517,-3.8269080615387e-05
4,0.999999183530933,8.16469067133063e-07,0.00654245493790756,0.00654245493790756,0.00659309640521175,0.000607850088669822,0.0117791374595527,0.0117791374595527,0.0117813852241396,-0.00014856304965968,0.00826595795407293,0.00833024775482602,0.00826595795407293,-8.83945284859796e-05
5,0.999998994753117,1.00524688306791e-06,0.00531784064204626,0.00531784064204626,0.00535209937292977,0.00109740168574463,0.00890390124742085,0.0089088622915016,0.00890390124742085,-8.73898294550392e-05,0.00953593897736509,0.00953593897736509,0.00953967325542981,-4.70276375435433e-05
6,0.999998935027358,1.06497264185101e-06,0.00609331385177754,0.00610574582581933,0.00609331385177754,-0.000130088130677384,0.00637406152863848,0.00637406152863848,0.00637567121008367,0.000136662337697503,0.00800270512502966,0.00800270512502966,0.00800336702951128,-0.000272421974724057
7,0.99999834943553,1.65056447043455e-06,0.00580664625731898,0.00580664625731898,0.00582133089135893,-5.15940505567569e-05,0.0073834524149845,0.0073834524149845,0.00738734705167997,4.92535383216035e-05,0.0101163869541839,0.0101163869541839,0.0101295006265466,-6.44060296085671e-05
8,0.999997609910987,2.39008901270488e-06,0.00562706318904815,0.00562706318904815,0.00563151559986634,-0.000380629531429613,0.0118313190275332,0.011837821366995,0.0118313190275332,0.000142009258843422,0.00940528688305286,0.00941837739564035,0.00940528688305286,0.000189581190082727
9,0.999997251549313,2.74845068692908e-06,0.00547949730547564,0.00548082696567784,0.00547949730547564,-0.000140719912460523,0.00770027101037829,0.00770027101037829,0.00773120557275561,0.000263016330863043,0.00833996668930893,0.00834147357048808,0.00833996668930893,0.000288246149055052
10,0.999996430563813,3.5694361865124e-06,0.00615238910843264,0.00615238910843264,0.00619157408197051,0.00134865337388323,0.00791500800071918,0.0079231051963459,0.00791500800071918,1.54718076244499e-05,0.00753314969303519,0.00753314969303519,0.00754508756720018,2.57867553591261e-05
