structure,M,M_upper,delta_star,r0,r_fs,m_adv,KM,KM_tv
amplitude,0.028472874632216774,0.028472874916936876,0.028472874812478767,0.014238811016165491,0.028472855839731633,0.028650811188729954,0.02785224763792647,0.027268258607307926
detuning,0.14051500672122397,0.1405150081260755,0.1405150080946106,0.04473254408423892,0.08945011473282213,0.14051500672122397,0.13330886092846292,0.08566576091690523
