m,Fmin_x1,Fmin_x4,Fmin_x16
0.0004917748019094266,0.9999839151428787,0.9999824353312411,0.9999824284653338
0.0005991080386011228,0.9999787264016514,0.9999765356069295,0.9999764725888134
0.0007298674932567842,0.9999709921372376,0.9999677707694712,0.9999676681715988
0.0008891660992511061,0.9999594672625927,0.9999547800931214,0.9999545898116952
0.0010832327228735361,0.9999425373124325,0.9999354787205617,0.9999351990892752
0.0013196557233708032,0.9999171634161594,0.9999068726010651,0.9999063857586603
0.001607679671645807,0.999879663859312,0.9998644109694597,0.9998636972223345
0.0019585668298556106,0.9998239481612676,0.9998014433471423,0.9998002448495737
0.002386037526420735,0.9997417369556313,0.9997080261997825,0.9997063116409289
0.002906806645912453,0.9996189835506754,0.9995692313702395,0.9995667212454971
0.003541237211552092,0.9994372773440068,0.9993629979340926,0.9993596323519918
0.004314136616591082,0.9991673094419053,0.9990568243644627,0.9990515403845377
0.0052557266386723004,0.9987664898068799,0.9986023139848647,0.9985943593572966
0.006402825166504901,0.998167730155807,0.9979275535836025,0.9979157337050775
# r0=9.835496e-04 rfs=1.832994e-03 KMtv=1.661599e-03 KM=4.573447e-03 FT=0.999
