controller,fid,err,M_H0,KM_H0,ratio_H0,KTOb_H0,Kflb_H0,wunc_H0,wavg_H0,wdev_H0,M_H1,KM_H1,ratio_H1,KTOb_H1,Kflb_H1,wunc_H1,wavg_H1,wdev_H1,M_H2,KM_H2,ratio_H2,KTOb_H2,Kflb_H2,wunc_H2,wavg_H2,wdev_H2
1,0.9999998848788966,1.15121103427818e-07,0.006456127805620431,0.003246157041671319,1.988852579447735,0.6072629016618559,0.9953365952978729,2.0,0.8443154571311586,2.223615617811752,0.010117832990002792,0.003299991287122292,3.066018092073781,1.0227814979177807,0.9553283290023113,5.64103122919798,0.47752074224686064,5.819918413306809,0.010842121595087975,0.0038398741780559906,2.823561682580184,0.9244467250392688,0.9716328206315945,4.43738222975162,0.45563900825030945,4.756077473119039
2,0.9999998206620195,1.79337980465988e-07,0.006099478363370233,0.0030852440008798817,1.9769841094029261,0.6028503974419945,0.9954768006819847,2.0,0.896378576088481,2.11341933181386,0.007342842139315568,0.002483639846055202,2.956484270848811,1.0138812453731443,0.9570665225441531,7.9770898847211,0.5818742662048594,7.973261406597494,0.007748211917177278,0.002455308900640866,3.1556974013147183,1.0785700646150167,0.9430350716387035,8.11702802978182,0.5780134274167614,8.159169174000322
3,0.9999995197769479,4.80223052101714e-07,0.00553550467403708,0.0027076396737726193,2.044402262109097,0.6107681246218161,0.9952228126502098,2.0,1.0327000361281153,2.1790667707223883,0.010014620429205107,0.00304835156973131,3.2852576876780075,1.1226136133535907,0.9314208703566399,6.540712894509,0.4573865078400683,6.676492881563431,0.008855694054552683,0.0034671205286259128,2.5541927318178255,0.846224297148827,0.9807823325011148,4.96652190106724,0.5150404912049348,5.048560085231125
4,0.9999991835309329,8.16469067133063e-07,0.006545263875510462,0.0038619125574906577,1.6948244627691302,0.5600979269268711,0.9966719558821254,2.0,0.6917877029060568,2.180373165828689,0.011784205197861504,0.004697774232170876,2.5084656297788785,0.8229737074911229,0.9829797250397643,3.44303515660182,0.39702212273874943,3.6863420706817274,0.008269889326338018,0.003371677101359687,2.4527524664218414,0.7949411052614793,0.985354506584665,4.60940113355484,0.583275801719751,4.828938037056314
5,0.9999989947531169,1.00524688306791e-06,0.005319767827496689,0.003000323373031653,1.7730648220499552,0.5677648730571065,0.996478249398217,2.0,0.9221132029141084,2.201125375870119,0.008907324975529936,0.004068724336870382,2.1892181032793565,0.690801111370868,0.9919723361700616,3.08403423242532,0.5681613173037884,3.152456840988201,0.009540168452381296,0.0036509655511009174,2.613053538537097,0.8429102216170168,0.9811088606065471,4.33815065679696,0.5240052404405977,4.621347949693276
6,0.9999989350273581,1.06497264185101e-06,0.0060952538410409905,0.0034386483591696978,1.7725725937597065,0.5714628579513176,0.9963817369182579,2.0,0.7892596013166078,2.2684837756958696,0.006376831887000153,0.002253580080374624,2.8296451244546414,0.9598938536269701,0.966449293545321,8.4057126711624,0.6843694463066886,8.575915967366837,0.008005899964966218,0.0033569505192740812,2.384872794222014,0.7776617289805567,0.9866801057147752,4.58524923698694,0.5863564846120075,4.88618540118845
7,0.9999983494355296,1.65056447043455e-06,0.005808440394879155,0.0029665750519939625,1.9579617212027227,0.5987662180943164,0.9956036138834674,2.0,0.9340041380757272,2.1745714889513406,0.007386539657942856,0.0028775834276418217,2.56692458921899,0.8341261500025511,0.9819526449397128,5.6590781266506,0.6572121760176239,5.822411400010153,0.010120834826034642,0.0032060920247305113,3.1567511936546335,1.0617983859215905,0.9469971686477378,5.86837849110884,0.4696329773376552,6.2272741861328775
8,0.9999976099109873,2.39008901270488e-06,0.005629170411670102,0.0031440222252606437,1.7904359474441807,0.571451834889593,0.9963820276340272,2.0,0.8756782750566438,2.15974455984878,0.011837167485152013,0.0038193576179478103,3.099256123471432,1.0200386988501533,0.9558701366514366,4.74495277855648,0.4282526382054944,4.922176938248057,0.009409227698252087,0.002919272184676664,3.223141626752507,1.0760613776122814,0.9436431036451141,6.49839099524488,0.5242569126837474,6.658542477732985
9,0.9999972515493131,2.74845068692908e-06,0.005481053373120986,0.002955237414817227,1.8546913847393793,0.5812182117487676,0.9961172203204184,2.0,0.9369592699777268,2.195684331876355,0.00770350327613655,0.0035630691246430076,2.162041489135685,0.6936813119175164,0.9918293118602959,3.73273773934866,0.6250770397193561,3.8578052880783025,0.008344088801247634,0.003565328137283809,2.340342453753626,0.7561874153887735,0.9881915801074368,4.20265236168124,0.5743444415047533,4.317946029860613
10,0.9999964305638135,3.5694361865124e-06,0.006154750272325627,0.0035525076150760408,1.732508678153498,0.564318692428158,0.9965663737297332,2.0,0.7611940484817643,2.191545946540019,0.00791892806673531,0.0024685831322067923,3.2078838923509037,1.0761388696582916,0.9436244040719587,7.76297600635256,0.6097233648570299,7.927988712805946,0.007536831670611397,0.0031667395261517598,2.379997346914793,0.7879122597187064,0.9859059385822744,5.05639331068696,0.5908742485473196,5.471662428880418
