controller,structure,fid,err,KM,Fmin_m1_grid,Fmin_m105_grid,Fmin_m1_x4,Fmin_m105_x4,Fmin_m1_x16,Fmin_m105_x16,violated,omega_avg_traj,omega_unc_traj,omega_avg_excess
12,H0,0.9999959548828486,4.04511715135225e-06,0.0013405299616515674,0.9999350041610883,0.9999291028319396,0.9999350041610965,0.9999291028319456,0.9999350041611232,0.9999291028319642,0,,,
12,H1,0.9999959548828486,4.04511715135225e-06,0.001324126134451077,0.9999033090421016,0.9998945604125719,0.9998985008951317,0.9998883817420788,0.9998980962771643,0.9998881293335355,0,,,
12,H2,0.9999959548828486,4.04511715135225e-06,0.0019390444243786178,0.9999337933356067,0.999930334582022,0.9999267190394535,0.9999194928741988,0.9999270046650723,0.9999196458639559,0,,,
13,H0,0.9999957175219889,4.28247801109727e-06,0.0013380002539825837,0.999917804928302,0.9999101970857901,0.9999178049283022,0.9999101970857838,0.9999178049283,0.9999101970857628,0,,,
13,H1,0.9999957175219889,4.28247801109727e-06,0.001361102918755516,0.9999133861872813,0.999905801208252,0.999903647947,0.9998942141129316,0.9999048130137188,0.999894627603809,0,,,
13,H2,0.9999957175219889,4.28247801109727e-06,0.0015791058334363695,0.9999144230095129,0.9999065053680305,0.9999091775415992,0.9998984679442237,0.9999078863685018,0.999898543377142,0,,,
14,H0,0.9999949655878757,5.03441212429401e-06,0.0013304160788587896,0.9999446719461912,0.9999398922972026,0.9999446719461879,0.9999398922972099,0.9999446719461732,0.9999398922972467,0,,,
14,H1,0.9999949655878757,5.03441212429401e-06,0.001068771736042201,0.9999019451914581,0.999892197607677,0.999900676152567,0.9998914224475687,0.9999003003975284,0.9998907522557804,0,,,
14,H2,0.9999949655878757,5.03441212429401e-06,0.001456868344508989,0.9999349793128647,0.9999256573346924,0.9999117139182836,0.9999032002781153,0.9999101300975444,0.9999013577121879,0,,,
15,H0,0.9999948004295495,5.19957045053143e-06,0.0013288274509354967,0.9999401311876261,0.9999346230515975,0.999940131187633,0.9999346230516054,0.9999401311876621,0.9999346230516375,0,,,
15,H1,0.9999948004295495,5.19957045053143e-06,0.0011186809267138664,0.9999101473912912,0.999902651519373,0.9999039687103292,0.9998949764474138,0.9999033636964882,0.9998940270983889,0,,,
15,H2,0.9999948004295495,5.19957045053143e-06,0.0012896461170761753,0.9999136400184422,0.9999053523199729,0.9999002505506063,0.9998906018965513,0.999899596651565,0.9998898974129586,0,,,
16,H0,0.9999946724644592,5.32753554083332e-06,0.0013276137499420443,0.9999438852364229,0.999938793756765,0.999943885236422,0.9999394957976793,0.9999438824215791,0.9999387865598,0,,,
