controller,structure,fid,err,r_fs,speed,Fmin_m1_x1,Fmin_m105_x1,Fmin_m1_x4,Fmin_m105_x4,Fmin_m1_x16,Fmin_m105_x16,violated
1,H0,0.9999998848788956,1.15121103427818e-07,0.002408406441296136,18.371173070873834,0.999860506363898,0.9998462420296824,0.9998605063638994,0.9998462420296824,0.9998605063639056,0.9998462420296875,0
1,H1,0.9999998848788956,1.15121103427818e-07,0.001980371967810949,22.341889441591213,0.9998471768230514,0.9998315200633396,0.9998333822878059,0.9998164068239741,0.9998328778038797,0.9998158206126779,0
1,H2,0.9999998848788956,1.15121103427818e-07,0.0016162673866670074,27.374957833740112,0.9998438787858276,0.9998566597555092,0.9998508887324785,0.9998100592368974,0.9998269543296908,0.9998093588890886,0
2,H0,0.9999998206620179,1.79337980465988e-07,0.0024019256347453826,18.371173070873834,0.9998444140674528,0.9998285224943667,0.9998444140674563,0.9998285224943616,0.9998444140674723,0.9998285224943497,0
2,H1,0.9999998206620179,1.79337980465988e-07,0.0014797330339165308,29.820373356458425,0.9998813043035629,0.9998767948503384,0.9998706967466665,0.9998574568992911,0.999870656084698,0.999854470976265,0
2,H2,0.9999998206620179,1.79337980465988e-07,0.001707985712710653,25.835222865679352,0.9998872773266372,0.9998841922133274,0.9998724884384917,0.9998609026674263,0.9998718046282942,0.9998519907758464,0
3,H0,0.9999995197769482,4.80223052101714e-07,0.0023811796578705312,18.371173070873834,0.9998143353825839,0.999795404035018,0.9998143353825759,0.9997954040350253,0.9998143353825535,0.9997954040350644,0
3,H1,0.9999995197769482,4.80223052101714e-07,0.0015420875172254564,28.367432534756748,0.9998568296958812,0.9998422018156485,0.9998401986723918,0.9998238725275046,0.9998393229676721,0.9998229275586207,0
3,H2,0.9999995197769482,4.80223052101714e-07,0.00143780991968184,30.42478912460391,0.9998905816773989,0.9998898994965879,0.9998752658050319,0.9998709298603058,0.9998832731755338,0.9998714303942129,0
4,H0,0.9999991835309323,8.16469067133063e-07,0.0023649672362312797,18.371173070873834,0.9998424416486023,0.9998253385433311,0.9998501710443423,0.9998294647341678,0.9998403050348814,0.9998305594101956,0
4,H1,0.9999991835309323,8.16469067133063e-07,0.0022145146710805226,19.619297614565774,0.9999002688174371,0.9998857417440482,0.9998793048341648,0.9998668969852516,0.9998787217149722,0.9998673407667866,0
4,H2,0.9999991835309323,8.16469067133063e-07,0.0019347407471386033,22.456353631879384,0.999850306374128,0.9998352969324923,0.9998366249107716,0.9998198894430966,0.9998353969034116,0.999818522860487,0
5,H0,0.9999989947531168,1.00524688306791e-06,0.0023573436528919003,18.371173070873834,0.9998013853250971,0.9997812652593219,0.9998013853250969,0.9997812652593207,0.9998013853250955,0.9997812652593101,0
5,H1,0.9999989947531168,1.00524688306791e-06,0.0020700179530261167,20.921155863162042,0.9999030390327218,0.9998943961522416,0.9998757741090449,0.9998691027949956,0.9998750647189439,0.9998621495700388,0
5,H2,0.9999989947531168,1.00524688306791e-06,0.0019631611090796166,22.059915528332066,0.9998966250808307,0.9998796261434532,0.9998952267994888,0.9998716535372351,0.9998816738204102,0.9998771213115505,0
6,H0,0.9999989350273616,1.06497264185101e-06,0.002355083895205767,18.371173070873834,0.9998496879571801,0.9998344030912425,0.9998496879571722,0.9998344030912384,0.9998496879571498,0.9998344030912223,0
6,H1,0.9999989350273616,1.06497264185101e-06,0.0015044209278309393,28.759008223604603,0.999883719704122,0.9998722940479942,0.9998719709014101,0.9998589661979372,0.9998710870295354,0.9998579928633157,0
6,H2,0.9999989350273616,1.06497264185101e-06,0.0015823811515482157,27.342119054515624,0.9998913152092818,0.9998863653769468,0.9998736602717154,0.9998608759804957,0.9998696438338591,0.9998563994847504,0
7,H0,0.9999983494355276,1.65056447043455e-06,0.0023356258109133465,18.371173070873834,0.999837208808096,0.9998206767637928,0.9998372057137734,0.9998206767637866,0.9998370408475076,0.9998204120040346,0
7,H1,0.9999983494355276,1.65056447043455e-06,0.001347678576087811,31.838590271018266,0.9998847420466506,0.9998731162084908,0.9998705871431323,0.9998575191134605,0.9998699489400225,0.9998580449874055,0
7,H2,0.9999983494355276,1.65056447043455e-06,0.0016839012488065687,25.481414680046974,0.9998969615376064,0.9998841711489507,0.9998794144348181,0.9998677175539487,0.9998768766650864,0.9998665904683276,0
8,H0,0.9999976099109851,2.39008901270488e-06,0.0023155148963079045,18.371173070873834,0.9998282219317974,0.9998109184238897,0.999828221931805,0.9998109184238886,0.999828221931829,0.9998109184238904,0
8,H1,0.9999976099109851,2.39008901270488e-06,0.001889430464474487,22.514046273775104,0.9998765273886522,0.9998636663368302,0.9998705900248788,0.9998556818878356,0.9998689203980187,0.9998557056238161,0
8,H2,0.9999976099109851,2.39008901270488e-06,0.0017787002360182477,23.915623356235155,0.9998894477001918,0.9998778683201783,0.999876599312201,0.9998641957032541,0.9998753010280126,0.9998627638531266,0
9,H0,0.9999972515493113,2.74845068692908e-06,0.002306904371863573,18.371173070873834,0.9998202960820719,0.9998021786891198,0.9998202960820674,0.9998021786891202,0.9998202960820435,0.9998021786891151,0
9,H1,0.9999972515493113,2.74845068692908e-06,0.0017886736149980932,23.69383610184599,0.9998851818151635,0.9998737314701044,0.9998682021591255,0.9998634428660967,0.9998674303836915,0.9998619964633474,0
9,H2,0.9999972515493113,2.74845068692908e-06,0.0020169051599111688,21.012658560171353,0.9998721725964536,0.9998643786994175,0.9998651985968215,0.9998518609205685,0.9998674365506234,0.9998540814383816,0
10,H0,0.9999964305638153,3.5694361865124e-06,0.0022890873315196143,18.371173070873834,0.9998557391962279,0.9998414085739541,0.9998548199314992,0.9998363084499834,0.9998511132240914,0.9998401292145173,0
10,H1,0.9999964305638153,3.5694361865124e-06,0.0013326694832559666,31.555625809745052,0.9998664712358213,0.9998530549110414,0.9998537993515841,0.9998392412119065,0.9998526062577032,0.9998379174738252,0
10,H2,0.9999964305638153,3.5694361865124e-06,0.0013893321157247018,30.26865863512831,0.9998817217603615,0.9998697767341725,0.9998634845073138,0.9998498611066737,0.9998625243110922,0.9998488037848828,0
11,H0,0.9999963832699207,3.6167300803136e-06,0.0022881269975279545,18.371173070873834,0.9998364588436627,0.9998239595131476,0.9998356929987848,0.9998229922873076,0.9998356987409173,0.9998192892884012,0
11,H1,0.9999963832699207,3.6167300803136e-06,0.0017399392391610135,24.159221272573987,0.9998615333311612,0.9998446506243496,0.9998501981260888,0.999835278973272,0.9998499318265467,0.9998349875323227,0
11,H2,0.9999963832699207,3.6167300803136e-06,0.0020062519108870764,20.952292606733852,0.9998920245926508,0.9998804861690581,0.9998850898473377,0.9998716633661724,0.9998829443243732,0.9998713621070109,0
12,H0,0.9999959548828449,4.04511715135225e-06,0.0022796994143182794,18.371173070873834,0.9998275396305003,0.9998108660258522,0.9998275396305005,0.999810866025851,0.9998275396305143,0.9998108660258385,0
12,H1,0.9999959548828449,4.04511715135225e-06,0.0014582302815068175,28.720259770449037,0.9998842359443165,0.9998891044144882,0.9998860435281196,0.9998656504625753,0.9998774556644229,0.9998651880356055,0
12,H2,0.9999959548828449,4.04511715135225e-06,0.0023533756682082435,17.796033610688678,0.9999036983716417,0.9999102412251173,0.9999000449760748,0.999883383690956,0.9998927734990996,0.9998834453614882,0
13,H0,0.9999957175219917,4.28247801109727e-06,0.0022752216939081428,18.371173070873834,0.9997790229983181,0.9997574586081219,0.9997790229983264,0.9997574586081279,0.999779022998344,0.9997574586081565,0
13,H1,0.9999957175219917,4.28247801109727e-06,0.0016106821609514785,25.95080055316537,0.9998882997976296,0.9998738329575569,0.9998675584250593,0.999853588544116,0.9998740786931736,0.9998533334723027,0
13,H2,0.9999957175219917,4.28247801109727e-06,0.0017826657573511416,23.44718371406959,0.999892604476352,0.9998791103780511,0.9998854869352665,0.9998741916267457,0.9998831787354694,0.9998740611393556,0
14,H0,0.9999949655878775,5.03441212429401e-06,0.002261801388947188,18.371173070873834,0.9998581135329111,0.999844723939038,0.9998581135329141,0.9998436662754442,0.9998575606110359,0.9998447239390307,0
14,H1,0.9999949655878775,5.03441212429401e-06,0.0012117540338774436,34.29074185569756,0.9998841821128313,0.9998728529293921,0.9998759379483537,0.9998620669569032,0.9998780715636849,0.9998630813968991,0
14,H2,0.9999949655878775,5.03441212429401e-06,0.0016063688917830618,25.867000401239814,0.9999219667148976,0.9999107336149771,0.9998941508796757,0.9998835048679563,0.9998918380567475,0.9998833652092881,0
15,H0,0.9999948004295496,5.19957045053143e-06,0.0022589910678237728,18.371173070873834,0.9998389458283677,0.9998231270707636,0.9998389458283685,0.999823127070769,0.9998389458283744,0.9998231270707891,0
15,H1,0.9999948004295496,5.19957045053143e-06,0.0013109613298293724,31.656399718479932,0.9998801604395918,0.9998684750208019,0.9998719342563449,0.9998580588660552,0.999869372104712,0.9998572861503986,0
15,H2,0.9999948004295496,5.19957045053143e-06,0.0015149818029111992,27.393276798969687,0.9998829212831046,0.999871489117723,0.9998644889156674,0.999851180947676,0.9998636932235805,0.9998503076669596,0
16,H0,0.9999946724644645,5.32753554083332e-06,0.002256844183242344,18.371173070873834,0.9998557292152795,0.9998414583809105,0.9998504566180414,0.9998358577036935,0.9998504126335092,0.9998381291571341,0
16,H1,0.9999946724644645,5.32753554083332e-06,0.0018329939583700164,22.619209897019488,0.9998451914870095,0.9998301335383931,0.9998254037222899,0.9998080798185357,0.9998244304170589,0.999806927661548,0
16,H2,0.9999946724644645,5.32753554083332e-06,0.0017388989429152541,23.843176886881697,0.9998783014846202,0.9998688509682951,0.9998715489267495,0.9998581177777751,0.9998710550582569,0.9998579047580476,0
17,H0,0.9999944998331879,5.50016680833654e-06,0.002253988376413194,18.371173070873834,0.9998183500959671,0.9998009686657251,0.9998183500959701,0.9998009686657285,0.9998183500959875,0.9998009686657396,0
17,H1,0.9999944998331879,5.50016680833654e-06,0.001421543522162983,29.129189446003572,0.9998956124565609,0.9998747651687607,0.9998591507478222,0.9998454461519894,0.9998586918181205,0.9998407327104701,0
17,H2,0.9999944998331879,5.50016680833654e-06,0.001066305953689612,38.833517171637375,0.9998958119005571,0.9998813739827067,0.9998804968557523,0.9998679685659658,0.9998797153637743,0.9998669619405517,0
18,H0,0.999994215271874,5.78472812684527e-06,0.002249377055489222,18.371173070873834,0.9998516056133409,0.999837335570544,0.9998516056133397,0.9998373355705432,0.9998516056133385,0.9998373355705324,0
18,H1,0.999994215271874,5.78472812684527e-06,0.0013906671092420398,29.715015846292555,0.9998694526098408,0.9998600125392852,0.9998548029840066,0.9998397752749302,0.9998537858710755,0.9998393738822654,0
18,H2,0.999994215271874,5.78472812684527e-06,0.0017979381285783596,22.9839361717747,0.9998996728102238,0.9998977664686005,0.9998733779722817,0.9998610661481071,0.999871385716339,0.9998589025552811,0
19,H0,0.9999917977476399,8.20225235975691e-06,0.0022140576845378107,18.371173070873834,0.999857547849457,0.9998441615379748,0.9998575478494574,0.9998441615379745,0.9998575478494629,0.9998441615379756,0
19,H1,0.9999917977476399,8.20225235975691e-06,0.001503502679820808,27.053385043776615,0.9999143098870175,0.9998946117899267,0.999889765508319,0.9998905610423036,0.9998959010365719,0.9998768912238909,0
19,H2,0.9999917977476399,8.20225235975691e-06,0.001506047795741671,27.007666706561263,0.9999026191910858,0.9998992548371479,0.999889755326623,0.9998786175787057,0.9998898161867185,0.999880411152343,0
20,H0,0.9999917792203648,8.22077963191781e-06,0.0022138088280576917,18.371173070873834,0.9997980954355291,0.9997786086574917,0.9997980954355384,0.9997786086574971,0.999798095435574,0.9997786086575223,0
20,H1,0.9999917792203648,8.22077963191781e-06,0.0017465554470709873,23.2859856778559,0.9998976176698863,0.9998912428802884,0.9998958042689946,0.9998801825917226,0.9998908170140413,0.999880739972099,0
20,H2,0.9999917792203648,8.22077963191781e-06,0.0019641801386375193,20.705975142528278,0.999896780984129,0.9998896656566256,0.9998871113536156,0.9998778110072213,0.9998862498271798,0.9998889392550496,0
21,H0,0.999991453193041,8.54680695572263e-06,0.0022094746847345715,18.371173070873834,0.999847288935793,0.9998276807868341,0.99983832589168,0.9998216774702237,0.9998382665448365,0.9998225132950395,0
