controller,structure,fid,err,KM,Fmin_m1_grid,Fmin_m105_grid,Fmin_m1_x4,Fmin_m105_x4,Fmin_m1_x16,Fmin_m105_x16,violated,omega_avg_traj,omega_unc_traj,omega_avg_excess
1,H0,0.9999998848788966,1.15121103427818e-07,0.0032141684802945887,0.9997518259087712,0.9997264271282318,0.9997518259087682,0.999726427128229,0.9997518259087584,0.9997264271282102,0,,,
1,H1,0.9999998848788966,1.15121103427818e-07,0.0032763307071590805,0.99958178272418,0.9995389094942412,0.9995438555157573,0.9994974193998585,0.9995417680648814,0.9994952161485661,0,,,
1,H2,0.9999998848788966,1.15121103427818e-07,0.0038111745284472396,0.9991363114877466,0.999039431060105,0.9990438121354651,0.9989450108552921,0.9990389430471442,0.9989405689052326,0,,,
2,H0,0.9999998206620195,1.79337980465988e-07,0.0030470358089377193,0.9997499623228508,0.9997243955688443,0.9997499623228533,0.9997243955688411,0.9997499623228664,0.9997243955688278,0,,,
2,H1,0.9999998206620195,1.79337980465988e-07,0.002462088330560528,0.9996794318223252,0.9996401433835392,0.9996364179382398,0.9995992591191991,0.9996394513392571,0.9996030546010328,0,,,
2,H2,0.9999998206620195,1.79337980465988e-07,0.002434128206896601,0.9997744968169997,0.9997554913123281,0.9997409287905202,0.9997029610319322,0.9997282138711894,0.9997004420074891,0,,,
3,H0,0.9999995197769479,4.80223052101714e-07,0.002652416188567667,0.9997698677630473,0.9997463884852331,0.9997698677630562,0.9997463884852367,0.999769867763098,0.9997463884852463,0,,,
3,H1,0.9999995197769479,4.80223052101714e-07,0.0030056489311427303,0.9994571597132844,0.9994015257253931,0.9993942137350575,0.9993321080413388,0.9993908298024954,0.9993283132773232,0,,,
3,H2,0.9999995197769479,4.80223052101714e-07,0.003413880595415837,0.9993697369036618,0.9993071435332727,0.9992968851736277,0.9992716203676361,0.9992850688446834,0.9992119023465305,0,,,
4,H0,0.9999991835309329,8.16469067133063e-07,0.0037634304272150323,0.9996049770694253,0.9995649169175348,0.9996001457334752,0.9995649641812948,0.9996001218432319,0.9995595555514557,0,,,
