controller,structure,fid,err,MB_ind,MB_sys,gamma_ind,gamma_sys,magnus_ok,Fmin_attack
1,H0,0.9999998848788966,1.15121103427818e-07,0.0014440584770716405,0.003141726034591105,1.0,0.42363041264429385,1,nan
1,H1,0.9999998848788966,1.15121103427818e-07,0.0015881932082922043,0.002681117326140502,0.2640402500161033,0.08507897369048156,1,nan
1,H2,0.9999998848788966,1.15121103427818e-07,0.0014507525532764546,0.0032099579745141927,0.41127788737238463,0.10352753163365626,1,nan
2,H0,0.9999998206620195,1.79337980465988e-07,0.001440253173705641,0.0029829493911735813,1.0,0.44958754557135316,1,nan
2,H1,0.9999998206620195,1.79337980465988e-07,0.0011641002663663213,0.001967672467565776,0.24921680953330116,0.07331228461981969,1,nan
2,H2,0.9999998206620195,1.79337980465988e-07,0.0012636316711052418,0.001945263723493686,0.21218950886037358,0.07152427536699377,1,nan
3,H0,0.9999995197769479,4.80223052101714e-07,0.0014280690088169642,0.0026231944951354,1.0,0.5175796404836523,1,nan
3,H1,0.9999995197769479,4.80223052101714e-07,0.0012745835847278778,0.0024101918191403305,0.2891370099078091,0.07039845523908499,1,nan
3,H2,0.9999995197769479,4.80223052101714e-07,0.0012902576323761481,0.0028378723081118953,0.40839833496711964,0.1044450072066878,1,nan
4,H0,0.9999991835309329,8.16469067133063e-07,0.001418544386570646,0.0036179831525569844,1.0,0.3475897810557895,1,nan
4,H1,0.9999991835309329,8.16469067133063e-07,0.0019606708541381147,0.003925558982461214,0.37988376964332204,0.11603435151153858,1,nan
4,H2,0.9999991835309329,8.16469067133063e-07,0.0016525412194749577,0.002831159764077001,0.324790617858575,0.12706756517930276,1,nan
5,H0,0.9999989947531169,1.00524688306791e-06,0.0014140646957550792,0.002863300744613508,1.0,0.46239877368109183,1,nan
5,H1,0.9999989947531169,1.00524688306791e-06,0.0018920080139525643,0.00354130978803379,0.4522465119052717,0.1849194166106897,1,nan
5,H2,0.9999989947531169,1.00524688306791e-06,0.0016953238096370736,0.00305606325821939,0.33900644573464156,0.1213784862168646,1,nan
6,H0,0.9999989350273581,1.06497264185101e-06,0.0014127367274851367,0.0032515324677313403,1.0,0.3961539565025529,1,nan
6,H1,0.9999989350273581,1.06497264185101e-06,0.0011499035395393384,0.001793376851711122,0.22809097692389246,0.08175390565743858,1,nan
6,H2,0.9999989350273581,1.06497264185101e-06,0.0014142689958365495,0.002824127435635505,0.39753737316262266,0.12858891550650234,1,nan
7,H0,0.9999983494355296,1.65056447043455e-06,0.001401299862250266,0.002808397743077284,1.0,0.4683185054799312,1,nan
7,H1,0.9999983494355296,1.65056447043455e-06,0.001191608074165758,0.002362022990934517,0.37507393204886247,0.11681827236647904,1,nan
7,H2,0.9999983494355296,1.65056447043455e-06,0.0013962416621501543,0.002565372735699237,0.28947706444694826,0.08057246300000691,1,nan
8,H0,0.9999976099109873,2.39008901270488e-06,0.001389475258902221,0.002941195362315122,1.0,0.4392178228544072,1,nan
8,H1,0.9999976099109873,2.39008901270488e-06,0.0016073017503228538,0.003049698987226519,0.3163227303409102,0.0907790371380295,1,nan
8,H2,0.9999976099109873,2.39008901270488e-06,0.0014006383781881863,0.002300550530530435,0.24534917821693736,0.08101746921413965,1,nan
9,H0,0.9999972515493131,2.74845068692908e-06,0.00138441128232173,0.002769056700700266,1.0,0.4697776303173166,1,nan
9,H1,0.9999972515493131,2.74845068692908e-06,0.0016199527393306584,0.0030248871168646616,0.42317172642619905,0.1681176634854098,1,nan
9,H2,0.9999972515493131,2.74845068692908e-06,0.0017392046336868472,0.002954792441451891,0.3333237640076959,0.13723033882480248,1,nan
10,H0,0.9999964305638135,3.5694361865124e-06,0.0013739304342890457,0.0032625093406880253,1.0,0.38212632549432973,1,nan
